# generated 2026-08-17 17:24:01 +0800 by paper_tables.py (l1-paper-tables-1)
# dedup rule applied to the hosted raw logs before evaluation: last row per (mode, thinking, repeat, item_id); hosted logs only
# suite suite.jsonl sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
# adjustment schema sha256 1115fa83d8910ed18a4fa1a421e80aaf4629f4c91fc22f83c81ba32c3fa39321
# ladder anchors: /home/ziheng/PaperL1/analysis/ladder (reconciliation 4208/4208 passed)
# /home/ziheng/PaperL1/results/e1_eval_qwen14b/summary.json sha256 793c76b07b492ef0fd70878913b6c90449fa7d884edd530817eaf98c1c51c1c8
# /home/ziheng/PaperL1/results/e1_eval_qwen27b/summary.json sha256 78745e80ca0550e27d754b70e2e8f8bd7d33a6ba11b419852ec4c05a9c5a57d5
# /home/ziheng/PaperL1/results/e1_eval_glm9b/summary.json sha256 bb806173f35bcd5013b1a9b77223f0d2e16346375670a6dca65dbb8859099724
# /home/ziheng/PaperL1/results/e1_eval_gpt54mini/summary.json sha256 5da1e6beba8ac75283ee1e5f9352c2fff80eb08fe74f590e551b35b5364fa028
# /home/ziheng/PaperL1/results/e1_eval_deepseek/summary.json sha256 574ebad8772fe47ec758487469231be95f2e457399fa619ad553b571dc8ee8f9
# /home/ziheng/PaperL1/results/e1_eval_sonnet5/summary.json sha256 e50203a3a4474af675a4ed1e397c52ecd1f1b057502f21987d01ec6e8878e4f6
# /home/ziheng/PaperL1/results/e1_eval_opus5/summary.json sha256 d1ab21e2a71280e44d8eed9feda0f8031e4c3160d17fd995414d6a1398ae4f15
# /home/ziheng/PaperL1/results/e1_eval_sol/summary.json sha256 fa3ae6264fcdfbd3b311ad59a8ed88bc8540176adea8b4b043b2fecf5086379d
# /home/ziheng/PaperL1/results/e2_tau_sweep/curves.csv sha256 e9ca179c57029c6ae23d0512f12da901884072192c96addff321de94bf04fc76
# rows are the accepted record; every overlapping cell is asserted equal to it
cut,cut_value,arm,model,mode,thinking,v3_items,v3_feas_pass,v3_separated,v3_separation_share,v3_cert_blocked,gold_match_exact,gold_match_semantic,gold_match_exact_rate,unseparated_applied_with_certificate,unseparated_blocked_feas,unseparated_blocked_schema,unseparated_other
all,all,qwen3-14b,"Qwen3-14B (open, local, BF16)",M_constrained,-,660,657,543,0.822727,546,249,567,0.377273,114,0,3,0
register,conversational,qwen3-14b,"Qwen3-14B (open, local, BF16)",M_constrained,-,192,192,141,0.734375,141,72,150,0.375000,51,0,0,0
register,formal,qwen3-14b,"Qwen3-14B (open, local, BF16)",M_constrained,-,276,273,225,0.815217,228,99,237,0.358696,48,0,3,0
register,terse,qwen3-14b,"Qwen3-14B (open, local, BF16)",M_constrained,-,192,192,177,0.921875,177,78,180,0.406250,15,0,0,0
template,reorder_behind_batch_member,qwen3-14b,"Qwen3-14B (open, local, BF16)",M_constrained,-,45,45,30,0.666667,30,0,33,0.000000,15,0,0,0
template,reorder_block_tight,qwen3-14b,"Qwen3-14B (open, local, BF16)",M_constrained,-,210,210,183,0.871429,183,129,210,0.614286,27,0,0,0
template,reorder_cross_trade,qwen3-14b,"Qwen3-14B (open, local, BF16)",M_constrained,-,135,135,111,0.822222,111,45,135,0.333333,24,0,0,0
template,reorder_two_successors,qwen3-14b,"Qwen3-14B (open, local, BF16)",M_constrained,-,135,135,129,0.955556,129,75,132,0.555556,6,0,0,0
template,window_blocked_predecessor,qwen3-14b,"Qwen3-14B (open, local, BF16)",M_constrained,-,135,132,90,0.666667,93,0,57,0.000000,42,0,3,0
all,all,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained,-,660,657,574,0.869697,577,251,618,0.380303,83,3,0,0
register,conversational,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained,-,192,192,147,0.765625,147,75,168,0.390625,45,0,0,0
register,formal,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained,-,276,273,246,0.891304,249,96,271,0.347826,27,3,0,0
register,terse,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained,-,192,192,181,0.942708,181,80,179,0.416667,11,0,0,0
template,reorder_behind_batch_member,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained,-,45,45,42,0.933333,42,0,45,0.000000,3,0,0,0
template,reorder_block_tight,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained,-,210,210,181,0.861905,181,124,208,0.590476,29,0,0,0
template,reorder_cross_trade,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained,-,135,135,105,0.777778,105,51,129,0.377778,30,0,0,0
template,reorder_two_successors,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained,-,135,135,132,0.977778,132,76,135,0.562963,3,0,0,0
template,window_blocked_predecessor,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained,-,135,132,114,0.844444,117,0,101,0.000000,18,3,0,0
all,all,glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_constrained,-,220,214,160,0.727273,166,84,164,0.381818,54,4,2,0
