# generated 2026-08-17 03:03:47 +0800 by analysis/DG10_direct_guard_intervals.py (l1-dg10-direct-guard-intervals-1)
# DG10 companion: the 800 canonical benign proposals by instance, with the no-AI ATC anchor gap of analysis/ladder/rule_anchor.csv.
# anchor_above_tau=1 marks an instance whose unmodified schedule already certifies above tau=0.2.
# analysis/DG1_direct_guard.csv sha256 32d8e190b4b0ecb725f2ae3ddcf506dec062e736fb6b0d725a273a3f35293a4f
# code/suite/v0.2/suite.jsonl sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
# analysis/ladder/rule_anchor.csv sha256 ca31ec0bf9805ef42390e8663257e204da7da4191eb0b2052ad4f0225cb52fc7
# code/scripts/direct_guard_benchmark.py sha256 87ea07524a94f35b869f50e306714b965343c3b50951850a7f5852b451879a4b
# code/scripts/e1_intervals.py sha256 a20dc5fa977abe0c1a664ae962dfbafef05e3c78326ea8ed9643642cb110df5a
instance_id,benign_items,benign_refused,refusal_share,rule_anchor_gap,anchor_above_tau,refused_items,accepted_items
c09_storm2_w80_u100_0000,26,0,0.0000,0.123812,0,,
c09_storm2_w80_u100_0001,21,0,0.0000,0.055963,0,,
c09_storm2_w80_u100_0002,18,0,0.0000,0.019138,0,,
c09_storm2_w80_u100_0003,13,0,0.0000,0.017038,0,,
c09_storm2_w80_u100_0004,11,0,0.0000,0.106119,0,,
c09_storm2_w80_u100_0005,23,0,0.0000,0.017173,0,,
c09_storm2_w80_u100_0006,20,0,0.0000,0.010894,0,,
c09_storm2_w80_u100_0007,17,0,0.0000,0.048034,0,,
c09_storm2_w80_u100_0008,12,11,0.9167,0.226611,1,BEN-0077|BEN-0177|BEN-0237|BEN-0287|BEN-0377|BEN-0447|BEN-0492|BEN-0537|BEN-0597|BEN-0647|BEN-0687,BEN-0017
c09_storm2_w80_u100_0009,11,0,0.0000,0.035791,0,,
c09_storm2_w80_u100_0010,23,0,0.0000,0.010113,0,,
c09_storm2_w80_u100_0011,20,0,0.0000,0.042639,0,,
c09_storm2_w80_u100_0012,17,0,0.0000,0.065639,0,,
c09_storm2_w80_u100_0013,11,0,0.0000,0.004884,0,,
c09_storm2_w80_u100_0014,8,0,0.0000,0.025776,0,,
c09_storm2_w80_u100_0015,23,0,0.0000,0.039093,0,,
c09_storm2_w80_u100_0016,20,0,0.0000,0.048306,0,,
c09_storm2_w80_u100_0017,17,0,0.0000,0.050848,0,,
c09_storm2_w80_u100_0018,11,10,0.9091,0.286652,1,BEN-0179|BEN-0239|BEN-0289|BEN-0379|BEN-0449|BEN-0494|BEN-0539|BEN-0599|BEN-0649|BEN-0689,BEN-0019
c09_storm2_w80_u100_0019,8,0,0.0000,0.008896,0,,
c09_storm2_w80_u100_0020,21,0,0.0000,0.012309,0,,
c09_storm2_w80_u100_0021,12,0,0.0000,0.061643,0,,
c09_storm2_w80_u100_0022,19,0,0.0000,0.020156,0,,
c09_storm2_w80_u100_0023,12,0,0.0000,0.069219,0,,
c10_replay_400_0000,9,0,0.0000,0.000000,0,,
c10_replay_400_0001,15,0,0.0000,0.001453,0,,
c10_replay_400_0002,9,0,0.0000,0.000000,0,,
c10_replay_400_0003,14,0,0.0000,0.016342,0,,
c10_replay_400_0004,5,0,0.0000,0.000000,0,,
c10_replay_400_0005,11,0,0.0000,0.000000,0,,
c10_replay_400_0006,16,0,0.0000,0.000000,0,,
c10_replay_400_0007,12,0,0.0000,0.000000,0,,
c10_replay_400_0008,9,0,0.0000,0.000000,0,,
c10_replay_400_0009,5,0,0.0000,0.001562,0,,
c10_replay_400_0010,8,0,0.0000,0.000000,0,,
c10_replay_400_0011,17,0,0.0000,0.000000,0,,
c10_replay_400_0012,10,0,0.0000,0.001454,0,,
c10_replay_400_0013,10,0,0.0000,0.000000,0,,
c10_replay_400_0014,7,0,0.0000,0.000000,0,,
c10_replay_400_0015,8,0,0.0000,0.000000,0,,
c10_replay_400_0016,12,0,0.0000,0.000000,0,,
c10_replay_400_0017,9,0,0.0000,0.000000,0,,
c10_replay_400_0018,8,0,0.0000,0.000000,0,,
c10_replay_400_0019,5,0,0.0000,0.000000,0,,
c10_replay_400_0020,21,0,0.0000,0.000000,0,,
c10_replay_400_0021,11,0,0.0000,0.000000,0,,
c10_replay_400_0022,13,0,0.0000,0.000000,0,,
c10_replay_400_0023,9,0,0.0000,0.000000,0,,
c10_storm2_w80_u100_0000,17,0,0.0000,0.000074,0,,
c10_storm2_w80_u100_0001,12,0,0.0000,0.000008,0,,
c10_storm2_w80_u100_0002,12,0,0.0000,0.090335,0,,
c10_storm2_w80_u100_0003,11,0,0.0000,0.002671,0,,
c10_storm2_w80_u100_0004,17,0,0.0000,0.002014,0,,
c10_storm2_w80_u100_0005,13,0,0.0000,0.000425,0,,
c10_storm2_w80_u100_0006,11,0,0.0000,0.003614,0,,
c10_storm2_w80_u100_0007,12,0,0.0000,0.000000,0,,
c10_storm2_w80_u100_0008,12,0,0.0000,0.017765,0,,
c10_storm2_w80_u100_0009,14,0,0.0000,0.005462,0,,
c10_storm2_w80_u100_0010,11,0,0.0000,0.004660,0,,
c10_storm2_w80_u100_0011,11,0,0.0000,0.001677,0,,
