# generated 2026-08-17 03:03:47 +0800 by analysis/DG10_direct_guard_intervals.py (l1-dg10-direct-guard-intervals-1)
# DG10: cluster-bootstrap 95% intervals on the direct-guard headline rates (Table 7), no model in the loop.
# scope: analysis/DG1_direct_guard.csv, reading=canonical, config=G_CERT (schema + feasibility + certificate at tau=0.2).
# estimator: nonparametric cluster bootstrap of a pooled ratio; clusters resampled with replacement, each contributing all its rows; B=20000 replicates, base seed=20260814, 2.5/97.5 percentile.
# estimator code copied from code/scripts/e1_intervals.py (cluster_bootstrap, wilson, linearised_se, cluster_key).
# wilson_*: Wilson score interval on the ROW count (the naive interval that assumes rows are independent).
# deff_width = (cluster CI width / Wilson CI width)^2; deff_lin = (linearised cluster-robust SE / sqrt(p(1-p)/n))^2; deff_boot = (bootstrap SE / sqrt(p(1-p)/n))^2.
# cluster_level=item is one row per cluster here, so it IS the ordinary row bootstrap and is printed as a control on the instance level.
# analysis/DG1_direct_guard.csv sha256 32d8e190b4b0ecb725f2ae3ddcf506dec062e736fb6b0d725a273a3f35293a4f
# code/suite/v0.2/suite.jsonl sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
# analysis/ladder/rule_anchor.csv sha256 ca31ec0bf9805ef42390e8663257e204da7da4191eb0b2052ad4f0225cb52fc7
# code/scripts/direct_guard_benchmark.py sha256 87ea07524a94f35b869f50e306714b965343c3b50951850a7f5852b451879a4b
# code/scripts/e1_intervals.py sha256 a20dc5fa977abe0c1a664ae962dfbafef05e3c78326ea8ed9643642cb110df5a
metric,metric_label,primary_class,denominator_rule,reading,config,tau,numerator,denominator,point,point_pct,cluster_level,n_clusters,ci_lo,ci_hi,ci_lo_pct,ci_hi_pct,wilson_lo,wilson_hi,wilson_lo_pct,wilson_hi_pct,boot_se,lin_se,srs_se,deff_width,deff_lin,deff_boot,boot_frac_zero,B,seed
benign_refusal,Benign canonical proposal refused (the guard's false-block floor),benign,all,canonical,G_CERT,0.2,21,800,0.026250,2.6,instance,60,0.000000,0.067862,0.0,6.8,0.017232,0.039796,1.7,4.0,0.018478,0.018554,0.005653,9.05,10.77,10.69,0.1347,20000,20323574
benign_refusal,Benign canonical proposal refused (the guard's false-block floor),benign,all,canonical,G_CERT,0.2,21,800,0.026250,2.6,item,800,0.016250,0.037500,1.6,3.8,0.017232,0.039796,1.7,4.0,0.005642,0.005656,0.005653,0.89,1.00,1.00,0.0000,20000,20276110
benign_refusal,Benign canonical proposal refused (the guard's false-block floor),benign,all,canonical,G_CERT,0.2,21,800,0.026250,2.6,instance_family,730,0.016030,0.037927,1.6,3.8,0.017232,0.039796,1.7,4.0,0.005712,0.005671,0.005653,0.94,1.01,1.02,0.0000,20000,20317296
v3_refusal,V3 quality canonical proposal refused (the certificate's ceiling),V3,all,canonical,G_CERT,0.2,201,220,0.913636,91.4,instance,56,0.862069,0.957627,86.2,95.8,0.869061,0.944015,86.9,94.4,0.024473,0.024623,0.018938,1.63,1.69,1.67,0.0000,20000,20305173
v3_refusal,V3 quality canonical proposal refused (the certificate's ceiling),V3,all,canonical,G_CERT,0.2,201,220,0.913636,91.4,item,220,0.872727,0.950000,87.3,95.0,0.869061,0.944015,86.9,94.4,0.018825,0.018981,0.018938,1.06,1.00,0.99,0.0000,20000,20304098
v3_refusal,V3 quality canonical proposal refused (the certificate's ceiling),V3,all,canonical,G_CERT,0.2,201,220,0.913636,91.4,instance_family,185,0.871560,0.950000,87.2,95.0,0.869061,0.944015,86.9,94.4,0.020106,0.020094,0.018938,1.10,1.13,1.13,0.0000,20000,20306140
v4_refusal,V4 mistranslation canonical proposal refused,V4,all,canonical,G_CERT,0.2,46,220,0.209091,20.9,instance,60,0.163551,0.258373,16.4,25.8,0.160577,0.267590,16.1,26.8,0.024072,0.024106,0.027417,0.79,0.77,0.77,0.0000,20000,20341430
v4_refusal,V4 mistranslation canonical proposal refused,V4,all,canonical,G_CERT,0.2,46,220,0.209091,20.9,item,220,0.159091,0.263636,15.9,26.4,0.160577,0.267590,16.1,26.8,0.027334,0.027479,0.027417,0.95,1.00,0.99,0.0000,20000,20312564
v4_refusal,V4 mistranslation canonical proposal refused,V4,all,canonical,G_CERT,0.2,46,220,0.209091,20.9,instance_family,208,0.151376,0.268182,15.1,26.8,0.160577,0.267590,16.1,26.8,0.029751,0.029965,0.027417,1.19,1.19,1.18,0.0000,20000,20317428
v6_refusal_representable,"V6 injection canonical proposal refused, over items carrying one",V6,with_proposal,canonical,G_CERT,0.2,39,175,0.222857,22.3,instance,60,0.175758,0.272727,17.6,27.3,0.167528,0.290093,16.8,29.0,0.024804,0.025114,0.031459,0.63,0.64,0.62,0.0000,20000,20285448
