# DG1: the direct proposal-level guard benchmark (no model in the loop)
# generator: code/scripts/direct_guard_benchmark.py (l1-direct-guard-1)
# sources:
#   code/suite/v0.2/suite.jsonl              sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
#   code/schema/adjustments.schema.json      sha256 1115fa83d8910ed18a4fa1a421e80aaf4629f4c91fc22f83c81ba32c3fa39321
#   code/l1guard/ (guard.py, config.py, findings.py, lb2.py, verdict.py)
#   analysis/ladder/ladder_anchors.json      (self-check target, ORACLE+G_CERT)
#   analysis/T1_e1_main.csv                  (LLM-mediated comparison)
# canonical proposal per class: benign=gold_ops, V1=literal_ops, V2=literal_ops, V3=gold_ops, V4=trap_ops, V5=gold_ops, V6=forbidden_ops
#   V5 has no representable proposal (gold/literal/trap/forbidden all empty, by construction)
# guard: lb_tier=tier2, tau=0.20, rule=atc, seed=0; three published configs
# run: 5522 guard calls, 4 worker(s), cores 0-3, 159.56 s wall
item_id,subclass,twin_id,stratum,terminal,blocking_codes,gap,n_ops,op_names,standing_frozen_set_size,adapter_executes,referee_feasible,adapter_error,reordered_terminal,reordered_blocking_codes
BEN-0077,out_of_range_shift,V1-0077,c09_storm2_w80,blocked_qual,gap_above_tau,0.226611,1,reassign_window,0,True,True,,blocked_qual,gap_above_tau
BEN-0177,reorder_cycle,V2-0017,c09_storm2_w80,blocked_qual,gap_above_tau,0.223951,2,reorder|reorder,0,True,True,,blocked_qual,gap_above_tau
BEN-0179,reorder_cycle,V2-0019,c09_storm2_w80,blocked_qual,gap_above_tau,0.286652,2,reorder|reorder,0,True,True,,blocked_qual,gap_above_tau
BEN-0221,freeze_shift_contradiction,V2-0061,c09_storm2_w80,blocked_feas,frozen_order_edit,,2,freeze|reassign_window,0,True,True,,applied_with_certificate,
BEN-0222,freeze_shift_contradiction,V2-0062,c09_storm2_w80,blocked_feas,frozen_order_edit,,2,freeze|reassign_window,0,True,True,,applied_with_certificate,
BEN-0223,freeze_shift_contradiction,V2-0063,c09_storm2_w80,blocked_feas,frozen_order_edit,,2,freeze|reassign_window,0,True,True,,applied_with_certificate,
BEN-0224,freeze_shift_contradiction,V2-0064,c09_storm2_w80,blocked_feas,frozen_order_edit,,2,freeze|reassign_window,0,True,True,,applied_with_certificate,
BEN-0225,freeze_shift_contradiction,V2-0065,c09_storm2_w80,blocked_feas,frozen_order_edit,,2,freeze|reassign_window,0,True,True,,applied_with_certificate,
BEN-0226,freeze_shift_contradiction,V2-0066,c09_storm2_w80,blocked_feas,frozen_order_edit,,2,freeze|reassign_window,0,True,True,,applied_with_certificate,
BEN-0227,freeze_shift_contradiction,V2-0067,c09_storm2_w80,blocked_feas,frozen_order_edit,,2,freeze|reassign_window,0,True,True,,applied_with_certificate,
BEN-0228,freeze_shift_contradiction,V2-0068,c09_storm2_w80,blocked_feas,frozen_order_edit,,2,freeze|reassign_window,0,True,True,,applied_with_certificate,
BEN-0229,freeze_shift_contradiction,V2-0069,c09_storm2_w80,blocked_feas,frozen_order_edit,,2,freeze|reassign_window,0,True,True,,applied_with_certificate,
BEN-0230,freeze_shift_contradiction,V2-0070,c09_storm2_w80,blocked_feas,frozen_order_edit,,2,freeze|reassign_window,0,True,True,,applied_with_certificate,
BEN-0231,freeze_shift_contradiction,V2-0071,c09_storm2_w80,blocked_feas,frozen_order_edit,,2,freeze|reassign_window,0,True,True,,applied_with_certificate,
BEN-0232,freeze_shift_contradiction,V2-0072,c09_storm2_w80,blocked_feas,frozen_order_edit,,2,freeze|reassign_window,0,True,True,,applied_with_certificate,
BEN-0233,freeze_shift_contradiction,V2-0073,c09_storm2_w80,blocked_feas,frozen_order_edit,,2,freeze|reassign_window,0,True,True,,applied_with_certificate,
BEN-0234,freeze_shift_contradiction,V2-0074,c09_storm2_w80,blocked_feas,frozen_order_edit,,2,freeze|reassign_window,0,True,True,,applied_with_certificate,
