# DG1: the direct proposal-level guard benchmark (no model in the loop)
# generator: code/scripts/direct_guard_benchmark.py (l1-direct-guard-1)
# sources:
#   code/suite/v0.2/suite.jsonl              sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
#   code/schema/adjustments.schema.json      sha256 1115fa83d8910ed18a4fa1a421e80aaf4629f4c91fc22f83c81ba32c3fa39321
#   code/l1guard/ (guard.py, config.py, findings.py, lb2.py, verdict.py)
#   analysis/ladder/ladder_anchors.json      (self-check target, ORACLE+G_CERT)
#   analysis/T1_e1_main.csv                  (LLM-mediated comparison)
# canonical proposal per class: benign=gold_ops, V1=literal_ops, V2=literal_ops, V3=gold_ops, V4=trap_ops, V5=gold_ops, V6=forbidden_ops
#   V5 has no representable proposal (gold/literal/trap/forbidden all empty, by construction)
# guard: lb_tier=tier2, tau=0.20, rule=atc, seed=0; three published configs
# run: 5522 guard calls, 4 worker(s), cores 0-3, 159.56 s wall
item_id,primary_class,subclass,twin_id,stratum,instance_id,reading,proposal_field,n_proposal_ops,proposal_empty,config,terminal,stage_reached,refused,refused_stage,blocking_codes,info_codes,infra_error,certified_gap,obj_bh,lb_bh,cert_tier,expected_violation,expected_stage,v1_decodability,quality_visible_candidate,badness
BEN-0001,benign,dangling_order_id,V1-0001,c09_storm2_w80,c09_storm2_w80_u100_0000,canonical,gold_ops,2,False,UNGUARDED,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0001,benign,dangling_order_id,V1-0001,c09_storm2_w80,c09_storm2_w80_u100_0000,canonical,gold_ops,2,False,G_FEAS,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0001,benign,dangling_order_id,V1-0001,c09_storm2_w80,c09_storm2_w80_u100_0000,canonical,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.128611,614.8764,544.808,tier2,,,,,0.0
BEN-0001,benign,dangling_order_id,V1-0001,c09_storm2_w80,c09_storm2_w80_u100_0000,gold,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.128611,614.8764,544.808,tier2,,,,,0.0
BEN-0002,benign,dangling_order_id,V1-0002,c09_storm2_w80,c09_storm2_w80_u100_0005,canonical,gold_ops,2,False,UNGUARDED,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0002,benign,dangling_order_id,V1-0002,c09_storm2_w80,c09_storm2_w80_u100_0005,canonical,gold_ops,2,False,G_FEAS,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0002,benign,dangling_order_id,V1-0002,c09_storm2_w80,c09_storm2_w80_u100_0005,canonical,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.017173,464.7136,456.868,tier2,,,,,0.0
BEN-0002,benign,dangling_order_id,V1-0002,c09_storm2_w80,c09_storm2_w80_u100_0005,gold,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.017173,464.7136,456.868,tier2,,,,,0.0
BEN-0003,benign,dangling_order_id,V1-0003,c09_storm2_w80,c09_storm2_w80_u100_0010,canonical,gold_ops,2,False,UNGUARDED,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0003,benign,dangling_order_id,V1-0003,c09_storm2_w80,c09_storm2_w80_u100_0010,canonical,gold_ops,2,False,G_FEAS,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0003,benign,dangling_order_id,V1-0003,c09_storm2_w80,c09_storm2_w80_u100_0010,canonical,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.010113,426.222,421.9548,tier2,,,,,0.0
BEN-0003,benign,dangling_order_id,V1-0003,c09_storm2_w80,c09_storm2_w80_u100_0010,gold,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.010113,426.222,421.9548,tier2,,,,,0.0
BEN-0004,benign,dangling_order_id,V1-0004,c09_storm2_w80,c09_storm2_w80_u100_0015,canonical,gold_ops,2,False,UNGUARDED,applied_uncertified,feas,False,,,,False,,,,,,,,,-2.6128
BEN-0004,benign,dangling_order_id,V1-0004,c09_storm2_w80,c09_storm2_w80_u100_0015,canonical,gold_ops,2,False,G_FEAS,applied_uncertified,feas,False,,,,False,,,,,,,,,-2.6128
BEN-0004,benign,dangling_order_id,V1-0004,c09_storm2_w80,c09_storm2_w80_u100_0015,canonical,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.034483,1738.906,1680.942,tier2,,,,,-2.6128
BEN-0004,benign,dangling_order_id,V1-0004,c09_storm2_w80,c09_storm2_w80_u100_0015,gold,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.034483,1738.906,1680.942,tier2,,,,,-2.6128
BEN-0005,benign,dangling_order_id,V1-0005,c09_storm2_w80,c09_storm2_w80_u100_0020,canonical,gold_ops,2,False,UNGUARDED,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0005,benign,dangling_order_id,V1-0005,c09_storm2_w80,c09_storm2_w80_u100_0020,canonical,gold_ops,2,False,G_FEAS,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0005,benign,dangling_order_id,V1-0005,c09_storm2_w80,c09_storm2_w80_u100_0020,canonical,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.013114,685.2808,676.4104,tier2,,,,,0.0
BEN-0005,benign,dangling_order_id,V1-0005,c09_storm2_w80,c09_storm2_w80_u100_0020,gold,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.013114,685.2808,676.4104,tier2,,,,,0.0
BEN-0006,benign,dangling_order_id,V1-0006,c09_storm2_w80,c09_storm2_w80_u100_0001,canonical,gold_ops,2,False,UNGUARDED,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0006,benign,dangling_order_id,V1-0006,c09_storm2_w80,c09_storm2_w80_u100_0001,canonical,gold_ops,2,False,G_FEAS,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0006,benign,dangling_order_id,V1-0006,c09_storm2_w80,c09_storm2_w80_u100_0001,canonical,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.036494,655.1732,632.1052,tier2,,,,,0.0
BEN-0006,benign,dangling_order_id,V1-0006,c09_storm2_w80,c09_storm2_w80_u100_0001,gold,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.036494,655.1732,632.1052,tier2,,,,,0.0
BEN-0007,benign,dangling_order_id,V1-0007,c09_storm2_w80,c09_storm2_w80_u100_0006,canonical,gold_ops,2,False,UNGUARDED,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0007,benign,dangling_order_id,V1-0007,c09_storm2_w80,c09_storm2_w80_u100_0006,canonical,gold_ops,2,False,G_FEAS,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0007,benign,dangling_order_id,V1-0007,c09_storm2_w80,c09_storm2_w80_u100_0006,canonical,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.011555,659.4936,651.96,tier2,,,,,0.0
BEN-0007,benign,dangling_order_id,V1-0007,c09_storm2_w80,c09_storm2_w80_u100_0006,gold,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.011555,659.4936,651.96,tier2,,,,,0.0
BEN-0008,benign,dangling_order_id,V1-0008,c09_storm2_w80,c09_storm2_w80_u100_0011,canonical,gold_ops,2,False,UNGUARDED,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0008,benign,dangling_order_id,V1-0008,c09_storm2_w80,c09_storm2_w80_u100_0011,canonical,gold_ops,2,False,G_FEAS,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0008,benign,dangling_order_id,V1-0008,c09_storm2_w80,c09_storm2_w80_u100_0011,canonical,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.034457,558.8056,540.1924,tier2,,,,,0.0
BEN-0008,benign,dangling_order_id,V1-0008,c09_storm2_w80,c09_storm2_w80_u100_0011,gold,gold_ops,2,False,G_CERT,applied_with_certificate,qual,False,,,,False,0.034457,558.8056,540.1924,tier2,,,,,0.0
BEN-0009,benign,dangling_order_id,V1-0009,c09_storm2_w80,c09_storm2_w80_u100_0016,canonical,gold_ops,2,False,UNGUARDED,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
BEN-0009,benign,dangling_order_id,V1-0009,c09_storm2_w80,c09_storm2_w80_u100_0016,canonical,gold_ops,2,False,G_FEAS,applied_uncertified,feas,False,,,,False,,,,,,,,,0.0
