# generated 2026-08-17 17:34:15 +0800 by code/scripts/e1_intervals.py (l1-dg5-intervals-1)
# DG5: cluster-bootstrap 95% intervals on the E1 headline rates.
# scope: mode M_constrained, repeats pooled, cells are (arm, thinking).
# estimator: nonparametric cluster bootstrap of a pooled ratio; clusters resampled with replacement, each contributing all its rows; B=20000 replicates, seed=20260814, 2.5/97.5 percentile.
# wilson_*: Wilson score interval on the ROW count (the naive interval that assumes rows are independent).
# deff_width = (cluster CI width / Wilson CI width)^2; deff_lin = (linearised cluster-robust SE / sqrt(p(1-p)/n))^2; deff_boot = (bootstrap SE / sqrt(p(1-p)/n))^2.
# metric definitions taken from code/scripts/e1_evaluate.py (Analysis.separation, Analysis.blocks) and code/scripts/e3_replay.py (violation pass-through).  Zero rows carry an infra_error finding, so the eligibility filter removes nothing on these logs.
# capability_set follows manuscript/macros.tex: the DeepSeek cells are outside it and are reported for completeness only.
# results/e1_eval_qwen14b/verdicts_G_CERT.jsonl sha256 007f9b7e128b9b40a1c8a6f20e1d7bf0688e7597c9ccf802b3d4603e11d5ff82
# results/e1_eval_qwen14b/verdicts_G_FEAS.jsonl sha256 2e35dedecb9363433618b26c6f0d75f596ce88b931e35443661048d2a8823e23
# results/e1_eval_qwen14b/proposals.jsonl sha256 1275be52a6a9e7cc36ebcc8c6f193b81a6c84e97671932fdf534e2b7a1c9dd47
# results/e1_eval_qwen27b/verdicts_G_CERT.jsonl sha256 34f6a4c8b2b26b38a69a21c1a22d0d0ee7715b2d15a095399aa505c279377d10
# results/e1_eval_qwen27b/verdicts_G_FEAS.jsonl sha256 5741e6c174e36e8d04a366fd648a051ccb6bf6a4ecfa182382cf43ba3f5b1d75
# results/e1_eval_qwen27b/proposals.jsonl sha256 7d930c7633af776c55abe93c72a33e6132cd9eccdc22d0543ade32f1ec63811d
# results/e1_eval_glm9b/verdicts_G_CERT.jsonl sha256 357ff6582097bd5c6656c14e6c47a6c85b5cb2c699e2206d1f8722ff1f0e6ed4
# results/e1_eval_glm9b/verdicts_G_FEAS.jsonl sha256 c6aa59cb041ee235084646d185760383d6d81d979876146af42f136a3694633c
# results/e1_eval_glm9b/proposals.jsonl sha256 94f9457a32e8776c6f403f4f619b2c96ce1d96bc3c2d1cb8118c1a2808c260bb
# results/e1_eval_gpt54mini/verdicts_G_CERT.jsonl sha256 ab58fe9be34e97572208247ee13fbf9710af6b14f5b0004390faeb4031f1a78d
# results/e1_eval_gpt54mini/verdicts_G_FEAS.jsonl sha256 0b54b9a910824885ff330ca5afab191320b01091f6e140d1edeacb395aed092c
# results/e1_eval_gpt54mini/proposals.jsonl sha256 cbfcbd608fa2b03fa878089bda35dc2e8491307e7ab5c7bea0f6576e28b9a9cd
# results/e1_eval_deepseek/verdicts_G_CERT.jsonl sha256 5c03ca0b5ae739bd89388dcbcc7226c27e93384508e134dfb2afa6fb7f431208
# results/e1_eval_deepseek/verdicts_G_FEAS.jsonl sha256 418eaa3f06de2f41b6c525222e4b165a06c58cfe3302081ed11375e28682e689
# results/e1_eval_deepseek/proposals.jsonl sha256 1e6cef4120af866d8b02898d9b2dc46b457c4b5b3649b7bed5c02bbaddc58407
# results/e1_eval_sonnet5/verdicts_G_CERT.jsonl sha256 87d3ebaefefe7b70915a861cc2f61dd3fb5e7e08df5f83756cf78ce5aa8f102c
# results/e1_eval_sonnet5/verdicts_G_FEAS.jsonl sha256 4b25bfa946e1f6a8e56f627b84148f858ce6b2e0dd0e2716fb18d3bbbd257d7c
# results/e1_eval_sonnet5/proposals.jsonl sha256 0a1387c342b1b9d551ab114ae13c9bf87871c27f7476fd96eecc5e5a1df3f94c
# results/e1_eval_opus5/verdicts_G_CERT.jsonl sha256 2c4a3d99410ce0bc38a8c230ffa3770f8f1fc20d514c732abf4d53d898f77744
# results/e1_eval_opus5/verdicts_G_FEAS.jsonl sha256 2e3f20d17f1a24f3e167bd443ae1f05f0bf7e9133777f70ada5dccf237124597
# results/e1_eval_opus5/proposals.jsonl sha256 170c6b315c419a23e6f4663ed28849e39b2672d4c08aa529d242e31cfd24d95d
# results/e1_eval_sol/verdicts_G_CERT.jsonl sha256 3a06dbde336b05951afd45cf08f609612a095c7a0d1861f68c447e6c7ab16dab
# results/e1_eval_sol/verdicts_G_FEAS.jsonl sha256 e2436e281abdbd80e0702d221a839dc3f2c23b973d64fc2c507ca08c9a58762c
# results/e1_eval_sol/proposals.jsonl sha256 d1717574dc9365777d11455354cc58be02ed4790f792491442adf80f68344195
# code/suite/v0.2/suite.jsonl sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
# analysis/T3_guard_value_curve.csv sha256 e9bf87e3856515e779897f6af7306a96ea02ea2f5b06eabf1e86f398a91f6911
# analysis/T1_e1_main.csv sha256 8439dadb9dc81c401eecda7f661f459f54698ab146a7e02408043779dec69b5c
arm,thinking,model,capability_set,metric,metric_label,range_role,numerator,denominator,point,point_pct,cluster_level,n_clusters,n_clusters_available,ci_lo,ci_hi,ci_lo_pct,ci_hi_pct,wilson_lo,wilson_hi,wilson_lo_pct,wilson_hi_pct,boot_se,lin_se,srs_se,deff_width,deff_lin,deff_boot,boot_frac_zero,n_repeats,per_repeat_rates_pct,per_repeat_min_pct,per_repeat_max_pct,B,seed
qwen3-14b,-,"Qwen3-14B (open, local, BF16)",1,v3_separation,"V3 separation (G_FEAS applies, G_CERT blocks)",,543,660,0.822727,82.3,instance,56,60,0.758454,0.878151,75.8,87.8,0.791749,0.849971,79.2,85.0,0.030463,0.030740,0.014865,4.23,4.28,4.20,0.0000,3,82.3; 82.3; 82.3,82.3,82.3,20000,20310482
qwen3-14b,-,"Qwen3-14B (open, local, BF16)",1,v3_separation,"V3 separation (G_FEAS applies, G_CERT blocks)",,543,660,0.822727,82.3,item,220,2000,0.772727,0.872727,77.3,87.3,0.791749,0.849971,79.2,85.0,0.025693,0.025806,0.014865,2.95,3.01,2.99,0.0000,3,82.3; 82.3; 82.3,82.3,82.3,20000,20266271
qwen3-14b,-,"Qwen3-14B (open, local, BF16)",1,v3_separation,"V3 separation (G_FEAS applies, G_CERT blocks)",,543,660,0.822727,82.3,instance_family,185,1110,0.768116,0.872890,76.8,87.3,0.791749,0.849971,79.2,85.0,0.026688,0.026761,0.014865,3.24,3.24,3.22,0.0000,3,82.3; 82.3; 82.3,82.3,82.3,20000,20338980
qwen3-14b,-,"Qwen3-14B (open, local, BF16)",1,v3_block_gcert,V3 block rate under G_CERT,,546,660,0.827273,82.7,instance,56,60,0.761905,0.883841,76.2,88.4,0.796561,0.854197,79.7,85.4,0.031254,0.031260,0.014714,4.48,4.51,4.51,0.0000,3,82.7; 82.7; 82.7,82.7,82.7,20000,20360533
qwen3-14b,-,"Qwen3-14B (open, local, BF16)",1,v3_block_gcert,V3 block rate under G_CERT,,546,660,0.827273,82.7,item,220,2000,0.777273,0.877273,77.7,87.7,0.796561,0.854197,79.7,85.4,0.025586,0.025544,0.014714,3.01,3.01,3.02,0.0000,3,82.7; 82.7; 82.7,82.7,82.7,20000,20334740
qwen3-14b,-,"Qwen3-14B (open, local, BF16)",1,v3_block_gcert,V3 block rate under G_CERT,,546,660,0.827273,82.7,instance_family,185,1110,0.772512,0.876784,77.3,87.7,0.796561,0.854197,79.7,85.4,0.026675,0.026614,0.014714,3.27,3.27,3.29,0.0000,3,82.7; 82.7; 82.7,82.7,82.7,20000,20317581
qwen3-14b,-,"Qwen3-14B (open, local, BF16)",1,v3_block_gfeas,V3 block rate under G_FEAS,,3,660,0.004545,0.5,instance,56,60,0.000000,0.014085,0.0,1.4,0.001547,0.013278,0.2,1.3,0.004371,0.004470,0.002618,1.44,2.91,2.79,0.3650,3,0.5; 0.5; 0.5,0.5,0.5,20000,20311842
qwen3-14b,-,"Qwen3-14B (open, local, BF16)",1,v3_block_gfeas,V3 block rate under G_FEAS,,3,660,0.004545,0.5,item,220,2000,0.000000,0.013636,0.0,1.4,0.001547,0.013278,0.2,1.3,0.004532,0.004545,0.002618,1.35,3.01,3.00,0.3705,3,0.5; 0.5; 0.5,0.5,0.5,20000,20293892
qwen3-14b,-,"Qwen3-14B (open, local, BF16)",1,v3_block_gfeas,V3 block rate under G_FEAS,,3,660,0.004545,0.5,instance_family,185,1110,0.000000,0.014019,0.0,1.4,0.001547,0.013278,0.2,1.3,0.004520,0.004530,0.002618,1.43,2.99,2.98,0.3640,3,0.5; 0.5; 0.5,0.5,0.5,20000,20286199
qwen3-14b,-,"Qwen3-14B (open, local, BF16)",1,benign_false_block_gcert,Benign false block under G_CERT,,105,2400,0.043750,4.4,instance,60,60,0.011974,0.087418,1.2,8.7,0.036270,0.052688,3.6,5.3,0.019712,0.019734,0.004175,21.12,22.34,22.29,0.0000,3,4.5; 4.5; 4.1,4.1,4.5,20000,20272035
qwen3-14b,-,"Qwen3-14B (open, local, BF16)",1,benign_false_block_gcert,Benign false block under G_CERT,,105,2400,0.043750,4.4,item,800,2000,0.030417,0.058750,3.0,5.9,0.036270,0.052688,3.6,5.3,0.007198,0.007164,0.004175,2.98,2.94,2.97,0.0000,3,4.5; 4.5; 4.1,4.1,4.5,20000,20283015
qwen3-14b,-,"Qwen3-14B (open, local, BF16)",1,benign_false_block_gcert,Benign false block under G_CERT,,105,2400,0.043750,4.4,instance_family,730,1110,0.030151,0.058450,3.0,5.8,0.036270,0.052688,3.6,5.3,0.007220,0.007186,0.004175,2.97,2.96,2.99,0.0000,3,4.5; 4.5; 4.1,4.1,4.5,20000,20307261
qwen3-14b,-,"Qwen3-14B (open, local, BF16)",1,benign_false_block_gfeas,Benign false block under G_FEAS,min,6,2400,0.002500,0.2,instance,60,60,0.000000,0.006321,0.0,0.6,0.001146,0.005444,0.1,0.5,0.001725,0.001743,0.001019,2.16,2.92,2.86,0.1321,3,0.2; 0.2; 0.2,0.2,0.2,20000,20305155
qwen3-14b,-,"Qwen3-14B (open, local, BF16)",1,benign_false_block_gfeas,Benign false block under G_FEAS,min,6,2400,0.002500,0.2,item,800,2000,0.000000,0.006250,0.0,0.6,0.001146,0.005444,0.1,0.5,0.001781,0.001767,0.001019,2.12,3.00,3.05,0.1344,3,0.2; 0.2; 0.2,0.2,0.2,20000,20358904
