# generated 2026-08-17 17:34:15 +0800 by code/scripts/e1_intervals.py (l1-dg5-intervals-1)
# DG5: cluster-bootstrap 95% intervals on the E1 headline rates.
# scope: mode M_constrained, repeats pooled, cells are (arm, thinking).
# estimator: nonparametric cluster bootstrap of a pooled ratio; clusters resampled with replacement, each contributing all its rows; B=20000 replicates, seed=20260814, 2.5/97.5 percentile.
# wilson_*: Wilson score interval on the ROW count (the naive interval that assumes rows are independent).
# deff_width = (cluster CI width / Wilson CI width)^2; deff_lin = (linearised cluster-robust SE / sqrt(p(1-p)/n))^2; deff_boot = (bootstrap SE / sqrt(p(1-p)/n))^2.
# metric definitions taken from code/scripts/e1_evaluate.py (Analysis.separation, Analysis.blocks) and code/scripts/e3_replay.py (violation pass-through).  Zero rows carry an infra_error finding, so the eligibility filter removes nothing on these logs.
# capability_set follows manuscript/macros.tex: the DeepSeek cells are outside it and are reported for completeness only.
# results/e1_eval_qwen14b/verdicts_G_CERT.jsonl sha256 007f9b7e128b9b40a1c8a6f20e1d7bf0688e7597c9ccf802b3d4603e11d5ff82
# results/e1_eval_qwen14b/verdicts_G_FEAS.jsonl sha256 2e35dedecb9363433618b26c6f0d75f596ce88b931e35443661048d2a8823e23
# results/e1_eval_qwen14b/proposals.jsonl sha256 1275be52a6a9e7cc36ebcc8c6f193b81a6c84e97671932fdf534e2b7a1c9dd47
# results/e1_eval_qwen27b/verdicts_G_CERT.jsonl sha256 34f6a4c8b2b26b38a69a21c1a22d0d0ee7715b2d15a095399aa505c279377d10
# results/e1_eval_qwen27b/verdicts_G_FEAS.jsonl sha256 5741e6c174e36e8d04a366fd648a051ccb6bf6a4ecfa182382cf43ba3f5b1d75
# results/e1_eval_qwen27b/proposals.jsonl sha256 7d930c7633af776c55abe93c72a33e6132cd9eccdc22d0543ade32f1ec63811d
# results/e1_eval_glm9b/verdicts_G_CERT.jsonl sha256 357ff6582097bd5c6656c14e6c47a6c85b5cb2c699e2206d1f8722ff1f0e6ed4
# results/e1_eval_glm9b/verdicts_G_FEAS.jsonl sha256 c6aa59cb041ee235084646d185760383d6d81d979876146af42f136a3694633c
# results/e1_eval_glm9b/proposals.jsonl sha256 94f9457a32e8776c6f403f4f619b2c96ce1d96bc3c2d1cb8118c1a2808c260bb
# results/e1_eval_gpt54mini/verdicts_G_CERT.jsonl sha256 ab58fe9be34e97572208247ee13fbf9710af6b14f5b0004390faeb4031f1a78d
# results/e1_eval_gpt54mini/verdicts_G_FEAS.jsonl sha256 0b54b9a910824885ff330ca5afab191320b01091f6e140d1edeacb395aed092c
# results/e1_eval_gpt54mini/proposals.jsonl sha256 cbfcbd608fa2b03fa878089bda35dc2e8491307e7ab5c7bea0f6576e28b9a9cd
# results/e1_eval_deepseek/verdicts_G_CERT.jsonl sha256 5c03ca0b5ae739bd89388dcbcc7226c27e93384508e134dfb2afa6fb7f431208
# results/e1_eval_deepseek/verdicts_G_FEAS.jsonl sha256 418eaa3f06de2f41b6c525222e4b165a06c58cfe3302081ed11375e28682e689
# results/e1_eval_deepseek/proposals.jsonl sha256 1e6cef4120af866d8b02898d9b2dc46b457c4b5b3649b7bed5c02bbaddc58407
# results/e1_eval_sonnet5/verdicts_G_CERT.jsonl sha256 87d3ebaefefe7b70915a861cc2f61dd3fb5e7e08df5f83756cf78ce5aa8f102c
# results/e1_eval_sonnet5/verdicts_G_FEAS.jsonl sha256 4b25bfa946e1f6a8e56f627b84148f858ce6b2e0dd0e2716fb18d3bbbd257d7c
# results/e1_eval_sonnet5/proposals.jsonl sha256 0a1387c342b1b9d551ab114ae13c9bf87871c27f7476fd96eecc5e5a1df3f94c
# results/e1_eval_opus5/verdicts_G_CERT.jsonl sha256 2c4a3d99410ce0bc38a8c230ffa3770f8f1fc20d514c732abf4d53d898f77744
# results/e1_eval_opus5/verdicts_G_FEAS.jsonl sha256 2e3f20d17f1a24f3e167bd443ae1f05f0bf7e9133777f70ada5dccf237124597
# results/e1_eval_opus5/proposals.jsonl sha256 170c6b315c419a23e6f4663ed28849e39b2672d4c08aa529d242e31cfd24d95d
# results/e1_eval_sol/verdicts_G_CERT.jsonl sha256 3a06dbde336b05951afd45cf08f609612a095c7a0d1861f68c447e6c7ab16dab
# results/e1_eval_sol/verdicts_G_FEAS.jsonl sha256 e2436e281abdbd80e0702d221a839dc3f2c23b973d64fc2c507ca08c9a58762c
# results/e1_eval_sol/proposals.jsonl sha256 d1717574dc9365777d11455354cc58be02ed4790f792491442adf80f68344195
# code/suite/v0.2/suite.jsonl sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
# analysis/T3_guard_value_curve.csv sha256 e9bf87e3856515e779897f6af7306a96ea02ea2f5b06eabf1e86f398a91f6911
# analysis/T1_e1_main.csv sha256 8439dadb9dc81c401eecda7f661f459f54698ab146a7e02408043779dec69b5c
# breakdown columns are 'key:count' pairs joined by '|', ranked descending; hhi_over_instances is the Herfindahl index of the false blocks over instances (1/13 = 0.077 would be a flat spread over the 13 instances that produce any).
arm,thinking,model,capability_set,config,benign_rows,false_blocks,false_block_rate_pct,instances_total,instances_with_any_false_block,top1_instance,top1_false_blocks,top1_share_pct,top2_false_blocks,top2_share_pct,subclasses_with_any_false_block,top_subclass,top_subclass_false_blocks,top_subclass_share_pct,distinct_items_false_blocked,hhi_over_instances,instance_breakdown,subclass_breakdown
qwen3-14b,-,"Qwen3-14B (open, local, BF16)",1,G_CERT,2400,105,4.4,60,12,c09_storm2_w80_u100_0018,33,31.4,66,62.9,16,objective_shifting,22,21.0,36,0.214,c09_storm2_w80_u100_0018:33|c09_storm2_w80_u100_0008:33|c09_storm2_w80_u100_0023:6|c09_storm2_w80_u100_0001:6|c10_storm2_w80_u100_0005:6|c09_storm2_w80_u100_0010:6|c10_storm2_w80_u100_0001:3|c09_storm2_w80_u100_0021:3|c10_replay_400_0020:3|c10_storm2_w80_u100_0004:2|c09_storm2_w80_u100_0004:2|c10_storm2_w80_u100_0007:2,objective_shifting:22|dangling_order_id:12|window_blocked_predecessor:9|reorder_cycle:6|freeze_shift_contradiction:6|frozen_order_edit:6|reorder_block_tight:6|reorder_two_successors:6|reorder_cross_trade:6|reorder_direction_flipped:6|sign_flipped_shift:6|out_of_range_shift:3|unstaffed_trade:3|trade_mismatch:3|freeze_instead_of_pin:3|enum_invalid_trade:2
qwen3-14b,-,"Qwen3-14B (open, local, BF16)",1,G_FEAS,2400,6,0.2,60,2,c09_storm2_w80_u100_0023,3,50.0,6,100.0,2,window_blocked_predecessor,3,50.0,2,0.500,c09_storm2_w80_u100_0023:3|c09_storm2_w80_u100_0001:3,window_blocked_predecessor:3|freeze_instead_of_pin:3
qwen3.6-27b-fp8,-,"Qwen3.6-27B-FP8 (open, local, quantized)",1,G_CERT,2400,132,5.5,60,25,c09_storm2_w80_u100_0008,33,25.0,63,47.7,11,freeze_shift_contradiction,74,56.1,46,0.127,c09_storm2_w80_u100_0008:33|c09_storm2_w80_u100_0018:30|c09_storm2_w80_u100_0015:6|c09_storm2_w80_u100_0017:4|c09_storm2_w80_u100_0001:3|c09_storm2_w80_u100_0006:3|c09_storm2_w80_u100_0011:3|c09_storm2_w80_u100_0002:3|c09_storm2_w80_u100_0012:3|c09_storm2_w80_u100_0022:3|c09_storm2_w80_u100_0013:3|c09_storm2_w80_u100_0023:3|c09_storm2_w80_u100_0004:3|c09_storm2_w80_u100_0009:3|c09_storm2_w80_u100_0000:3|c10_replay_400_0011:3|c10_replay_400_0003:3|c10_replay_400_0022:3|c10_storm2_w80_u100_0001:3|c10_storm2_w80_u100_0009:3|c10_storm2_w80_u100_0007:3|c10_storm2_w80_u100_0000:3|c10_storm2_w80_u100_0005:3|c09_storm2_w80_u100_0010:1|c10_storm2_w80_u100_0006:1,freeze_shift_contradiction:74|window_blocked_predecessor:7|reorder_cycle:6|frozen_order_edit:6|reorder_block_tight:6|reorder_two_successors:6|reorder_cross_trade:6|reorder_direction_flipped:6|sign_flipped_shift:6|objective_shifting:6|out_of_range_shift:3
qwen3.6-27b-fp8,-,"Qwen3.6-27B-FP8 (open, local, quantized)",1,G_FEAS,2400,69,2.9,60,23,c09_storm2_w80_u100_0015,6,8.7,10,14.5,2,freeze_shift_contradiction,68,98.6,25,0.047,c09_storm2_w80_u100_0015:6|c09_storm2_w80_u100_0017:4|c09_storm2_w80_u100_0001:3|c09_storm2_w80_u100_0006:3|c09_storm2_w80_u100_0011:3|c09_storm2_w80_u100_0002:3|c09_storm2_w80_u100_0012:3|c09_storm2_w80_u100_0022:3|c09_storm2_w80_u100_0013:3|c09_storm2_w80_u100_0023:3|c09_storm2_w80_u100_0004:3|c09_storm2_w80_u100_0009:3|c09_storm2_w80_u100_0000:3|c10_replay_400_0011:3|c10_replay_400_0003:3|c10_replay_400_0022:3|c10_storm2_w80_u100_0001:3|c10_storm2_w80_u100_0009:3|c10_storm2_w80_u100_0007:3|c10_storm2_w80_u100_0000:3|c10_storm2_w80_u100_0005:3|c09_storm2_w80_u100_0010:1|c10_storm2_w80_u100_0006:1,freeze_shift_contradiction:68|window_blocked_predecessor:1
glm-4-9b,-,"GLM-4-9B (open, local, SPOT-CHECK)",1,G_CERT,800,64,8.0,60,34,c09_storm2_w80_u100_0018,11,17.2,22,34.4,13,freeze_shift_contradiction,30,46.9,64,0.074,c09_storm2_w80_u100_0018:11|c09_storm2_w80_u100_0008:11|c09_storm2_w80_u100_0012:2|c09_storm2_w80_u100_0005:2|c09_storm2_w80_u100_0020:2|c09_storm2_w80_u100_0011:2|c09_storm2_w80_u100_0007:2|c09_storm2_w80_u100_0017:2|c09_storm2_w80_u100_0003:2|c10_replay_400_0003:2|c10_storm2_w80_u100_0006:2|c10_storm2_w80_u100_0011:2|c10_storm2_w80_u100_0010:1|c09_storm2_w80_u100_0006:1|c09_storm2_w80_u100_0022:1|c09_storm2_w80_u100_0023:1|c09_storm2_w80_u100_0004:1|c09_storm2_w80_u100_0009:1|c10_replay_400_0020:1|c10_replay_400_0001:1|c10_replay_400_0006:1|c10_replay_400_0016:1|c10_replay_400_0021:1|c10_replay_400_0007:1|c10_replay_400_0012:1|c10_storm2_w80_u100_0008:1|c10_storm2_w80_u100_0001:1|c10_storm2_w80_u100_0002:1|c10_storm2_w80_u100_0007:1|c10_storm2_w80_u100_0005:1|c10_storm2_w80_u100_0004:1|c10_storm2_w80_u100_0003:1|c10_replay_400_0015:1|c09_storm2_w80_u100_0014:1,freeze_shift_contradiction:30|reorder_cross_trade:5|window_blocked_predecessor:5|reorder_direction_flipped:5|reorder_block_tight:4|reorder_two_successors:3|dangling_order_id:2|reorder_cycle:2|frozen_order_edit:2|sign_flipped_shift:2|objective_shifting:2|out_of_range_shift:1|unstaffed_trade:1
glm-4-9b,-,"GLM-4-9B (open, local, SPOT-CHECK)",1,G_FEAS,800,43,5.4,60,32,c09_storm2_w80_u100_0012,2,4.7,4,9.3,7,freeze_shift_contradiction,29,67.4,43,0.035,c09_storm2_w80_u100_0012:2|c09_storm2_w80_u100_0018:2|c09_storm2_w80_u100_0005:2|c09_storm2_w80_u100_0020:2|c09_storm2_w80_u100_0011:2|c09_storm2_w80_u100_0007:2|c09_storm2_w80_u100_0017:2|c09_storm2_w80_u100_0003:2|c10_replay_400_0003:2|c10_storm2_w80_u100_0006:2|c10_storm2_w80_u100_0011:2|c09_storm2_w80_u100_0006:1|c09_storm2_w80_u100_0022:1|c09_storm2_w80_u100_0023:1|c09_storm2_w80_u100_0004:1|c09_storm2_w80_u100_0009:1|c10_replay_400_0020:1|c10_replay_400_0001:1|c10_replay_400_0006:1|c10_replay_400_0016:1|c10_replay_400_0021:1|c10_replay_400_0007:1|c10_replay_400_0012:1|c10_storm2_w80_u100_0008:1|c10_storm2_w80_u100_0001:1|c10_storm2_w80_u100_0002:1|c10_storm2_w80_u100_0007:1|c10_storm2_w80_u100_0005:1|c10_storm2_w80_u100_0004:1|c10_storm2_w80_u100_0003:1|c10_replay_400_0015:1|c09_storm2_w80_u100_0014:1,freeze_shift_contradiction:29|reorder_cross_trade:3|window_blocked_predecessor:3|reorder_direction_flipped:3|dangling_order_id:2|reorder_block_tight:2|reorder_two_successors:1
openai,-,"GPT-5.4-mini (closed, budget tier)",1,G_CERT,1600,62,3.9,60,14,c09_storm2_w80_u100_0008,22,35.5,42,67.7,11,freeze_shift_contradiction,18,29.0,35,0.240,c09_storm2_w80_u100_0008:22|c09_storm2_w80_u100_0018:20|c09_storm2_w80_u100_0000:3|c09_storm2_w80_u100_0015:3|c09_storm2_w80_u100_0002:2|c09_storm2_w80_u100_0013:2|c10_storm2_w80_u100_0009:2|c09_storm2_w80_u100_0017:2|c09_storm2_w80_u100_0004:1|c10_replay_400_0006:1|c10_replay_400_0022:1|c09_storm2_w80_u100_0006:1|c10_replay_400_0015:1|c10_storm2_w80_u100_0002:1,freeze_shift_contradiction:18|frozen_order_edit:8|window_blocked_predecessor:6|reorder_cycle:4|reorder_block_tight:4|reorder_two_successors:4|reorder_cross_trade:4|reorder_direction_flipped:4|sign_flipped_shift:4|objective_shifting:4|out_of_range_shift:2
openai,-,"GPT-5.4-mini (closed, budget tier)",1,G_FEAS,1600,20,1.2,60,12,c09_storm2_w80_u100_0000,3,15.0,6,30.0,3,freeze_shift_contradiction,14,70.0,14,0.100,c09_storm2_w80_u100_0000:3|c09_storm2_w80_u100_0015:3|c09_storm2_w80_u100_0002:2|c09_storm2_w80_u100_0013:2|c10_storm2_w80_u100_0009:2|c09_storm2_w80_u100_0017:2|c09_storm2_w80_u100_0004:1|c10_replay_400_0006:1|c10_replay_400_0022:1|c09_storm2_w80_u100_0006:1|c10_replay_400_0015:1|c10_storm2_w80_u100_0002:1,freeze_shift_contradiction:14|frozen_order_edit:4|window_blocked_predecessor:2
deepseek,non_think,"DeepSeek V4-Pro (open weights, hosted)",0,G_CERT,1600,1555,97.2,60,60,c09_storm2_w80_u100_0000,50,3.2,96,6.2,23,reorder_block_tight,140,9.0,779,0.019,c09_storm2_w80_u100_0000:50|c09_storm2_w80_u100_0005:46|c09_storm2_w80_u100_0015:44|c09_storm2_w80_u100_0010:42|c10_replay_400_0020:42|c09_storm2_w80_u100_0020:41|c09_storm2_w80_u100_0001:40|c09_storm2_w80_u100_0016:40|c09_storm2_w80_u100_0006:38|c09_storm2_w80_u100_0011:38|c09_storm2_w80_u100_0022:38|c09_storm2_w80_u100_0002:36|c09_storm2_w80_u100_0012:34|c10_storm2_w80_u100_0000:34|c10_replay_400_0011:34|c09_storm2_w80_u100_0007:33|c09_storm2_w80_u100_0017:32|c10_storm2_w80_u100_0004:32|c10_replay_400_0001:30|c10_replay_400_0006:30|c10_storm2_w80_u100_0009:28|c09_storm2_w80_u100_0003:26|c10_replay_400_0022:26|c10_replay_400_0003:26|c10_storm2_w80_u100_0005:26|c09_storm2_w80_u100_0008:24|c10_storm2_w80_u100_0008:24|c10_storm2_w80_u100_0007:24|c10_replay_400_0016:24|c09_storm2_w80_u100_0023:23|c09_storm2_w80_u100_0021:22|c09_storm2_w80_u100_0013:22|c09_storm2_w80_u100_0018:22|c09_storm2_w80_u100_0009:22|c10_replay_400_0021:22|c10_replay_400_0007:22|c10_storm2_w80_u100_0010:22|c10_storm2_w80_u100_0003:22|c10_storm2_w80_u100_0001:22|c10_storm2_w80_u100_0011:22|c10_storm2_w80_u100_0002:22|c10_replay_400_0005:22|c09_storm2_w80_u100_0004:20|c10_replay_400_0013:20|c10_storm2_w80_u100_0006:20|c10_replay_400_0002:18|c10_replay_400_0012:18|c10_replay_400_0017:18|c10_replay_400_0023:18|c10_replay_400_0000:18|c09_storm2_w80_u100_0014:16|c10_replay_400_0008:16|c10_replay_400_0018:16|c10_replay_400_0010:16|c09_storm2_w80_u100_0019:14|c10_replay_400_0014:14|c10_replay_400_0015:14|c10_replay_400_0004:10|c10_replay_400_0009:10|c10_replay_400_0019:10,reorder_block_tight:140|dangling_order_id:120|reorder_cycle:118|reorder_direction_flipped:100|reorder_two_successors:90|window_blocked_predecessor:90|reorder_cross_trade:88|freeze_shift_contradiction:87|frozen_order_edit:80|sign_flipped_shift:80|objective_shifting:72|out_of_range_shift:60|not_frozen:50|trade_mismatch:50|priority_instead_of_window:50|freeze_instead_of_pin:50|wrong_order_same_building:50|unstaffed_trade:40|dangling_building_id:38|reorder_behind_batch_member:30|wrong_building_same_trade:30|unknown_op:22|enum_invalid_trade:20
deepseek,non_think,"DeepSeek V4-Pro (open weights, hosted)",0,G_FEAS,1600,1553,97.1,60,60,c09_storm2_w80_u100_0000,50,3.2,96,6.2,23,reorder_block_tight,140,9.0,778,0.019,c09_storm2_w80_u100_0000:50|c09_storm2_w80_u100_0005:46|c09_storm2_w80_u100_0015:44|c09_storm2_w80_u100_0010:42|c10_replay_400_0020:42|c09_storm2_w80_u100_0020:41|c09_storm2_w80_u100_0001:40|c09_storm2_w80_u100_0016:40|c09_storm2_w80_u100_0006:38|c09_storm2_w80_u100_0011:38|c09_storm2_w80_u100_0022:38|c09_storm2_w80_u100_0002:36|c09_storm2_w80_u100_0012:34|c10_storm2_w80_u100_0000:34|c10_replay_400_0011:34|c09_storm2_w80_u100_0007:33|c09_storm2_w80_u100_0017:32|c10_storm2_w80_u100_0004:32|c10_replay_400_0001:30|c10_replay_400_0006:30|c10_storm2_w80_u100_0009:28|c09_storm2_w80_u100_0003:26|c10_replay_400_0022:26|c10_replay_400_0003:26|c10_storm2_w80_u100_0005:26|c10_storm2_w80_u100_0008:24|c10_storm2_w80_u100_0007:24|c10_replay_400_0016:24|c09_storm2_w80_u100_0023:23|c09_storm2_w80_u100_0021:22|c09_storm2_w80_u100_0008:22|c09_storm2_w80_u100_0013:22|c09_storm2_w80_u100_0018:22|c09_storm2_w80_u100_0009:22|c10_replay_400_0021:22|c10_replay_400_0007:22|c10_storm2_w80_u100_0010:22|c10_storm2_w80_u100_0003:22|c10_storm2_w80_u100_0001:22|c10_storm2_w80_u100_0011:22|c10_storm2_w80_u100_0002:22|c10_replay_400_0005:22|c09_storm2_w80_u100_0004:20|c10_replay_400_0013:20|c10_storm2_w80_u100_0006:20|c10_replay_400_0002:18|c10_replay_400_0012:18|c10_replay_400_0017:18|c10_replay_400_0023:18|c10_replay_400_0000:18|c09_storm2_w80_u100_0014:16|c10_replay_400_0008:16|c10_replay_400_0018:16|c10_replay_400_0010:16|c09_storm2_w80_u100_0019:14|c10_replay_400_0014:14|c10_replay_400_0015:14|c10_replay_400_0004:10|c10_replay_400_0009:10|c10_replay_400_0019:10,reorder_block_tight:140|dangling_order_id:120|reorder_cycle:118|reorder_direction_flipped:100|reorder_two_successors:90|window_blocked_predecessor:90|reorder_cross_trade:88|freeze_shift_contradiction:85|frozen_order_edit:80|sign_flipped_shift:80|objective_shifting:72|out_of_range_shift:60|not_frozen:50|trade_mismatch:50|priority_instead_of_window:50|freeze_instead_of_pin:50|wrong_order_same_building:50|unstaffed_trade:40|dangling_building_id:38|reorder_behind_batch_member:30|wrong_building_same_trade:30|unknown_op:22|enum_invalid_trade:20
