# DG8-A. The Eq. 2 gap-denominator floor: binding share and ell sensitivity
# generated 2026-08-16 15:00:27 +0800 by code/scripts/dg8_floor.py (l1-dg8-floor-1)
# Eq. 2: gap = (obj - LB) / max(LB, ell), ell = 1 weighted business hour (manuscript/drafts/s3_formulation.tex:207-219)
# self-check 1: Eq.2 at ell=1 reproduces the logged certificate_gap on 33566 certificates, 0 mismatches, max |delta| 0.0
# self-check 2: 912 published cells of Table 8 (analysis/T6_tau_calibration.csv sha256 55cc6ecce3c712a88287435b231238744353a8d3222d81604ac2bab384a2339f) reproduced from the raw verdict logs, 0 mismatches
# results/e1_eval_qwen14b/verdicts_G_CERT.jsonl sha256 007f9b7e128b9b40a1c8a6f20e1d7bf0688e7597c9ccf802b3d4603e11d5ff82
# results/e1_eval_qwen14b/verdicts_G_FEAS.jsonl sha256 2e35dedecb9363433618b26c6f0d75f596ce88b931e35443661048d2a8823e23
# results/e1_eval_qwen27b/verdicts_G_CERT.jsonl sha256 34f6a4c8b2b26b38a69a21c1a22d0d0ee7715b2d15a095399aa505c279377d10
# results/e1_eval_qwen27b/verdicts_G_FEAS.jsonl sha256 5741e6c174e36e8d04a366fd648a051ccb6bf6a4ecfa182382cf43ba3f5b1d75
# results/e1_eval_glm9b/verdicts_G_CERT.jsonl sha256 357ff6582097bd5c6656c14e6c47a6c85b5cb2c699e2206d1f8722ff1f0e6ed4
# results/e1_eval_glm9b/verdicts_G_FEAS.jsonl sha256 c6aa59cb041ee235084646d185760383d6d81d979876146af42f136a3694633c
# results/e1_eval_gpt54mini/verdicts_G_CERT.jsonl sha256 ab58fe9be34e97572208247ee13fbf9710af6b14f5b0004390faeb4031f1a78d
# results/e1_eval_gpt54mini/verdicts_G_FEAS.jsonl sha256 0b54b9a910824885ff330ca5afab191320b01091f6e140d1edeacb395aed092c
# results/e1_eval_deepseek/verdicts_G_CERT.jsonl sha256 5c03ca0b5ae739bd89388dcbcc7226c27e93384508e134dfb2afa6fb7f431208
# results/e1_eval_deepseek/verdicts_G_FEAS.jsonl sha256 418eaa3f06de2f41b6c525222e4b165a06c58cfe3302081ed11375e28682e689
# results/e1_eval_sonnet5/verdicts_G_CERT.jsonl sha256 87d3ebaefefe7b70915a861cc2f61dd3fb5e7e08df5f83756cf78ce5aa8f102c
# results/e1_eval_sonnet5/verdicts_G_FEAS.jsonl sha256 4b25bfa946e1f6a8e56f627b84148f858ce6b2e0dd0e2716fb18d3bbbd257d7c
# results/e1_eval_opus5/verdicts_G_CERT.jsonl sha256 2c4a3d99410ce0bc38a8c230ffa3770f8f1fc20d514c732abf4d53d898f77744
# results/e1_eval_opus5/verdicts_G_FEAS.jsonl sha256 2e3f20d17f1a24f3e167bd443ae1f05f0bf7e9133777f70ada5dccf237124597
# results/e1_eval_sol/verdicts_G_CERT.jsonl sha256 3a06dbde336b05951afd45cf08f609612a095c7a0d1861f68c447e6c7ab16dab
# results/e1_eval_sol/verdicts_G_FEAS.jsonl sha256 e2436e281abdbd80e0702d221a839dc3f2c23b973d64fc2c507ca08c9a58762c
# REPORTED SCOPE: constrained_all_arms_noinfra (constrained mode, all ten arm configurations, infra rows dropped (THE REPORTED SCOPE))
# reconciliation: 0 of 33566 certificate-carrying rows carry an infra_error finding, so dropping infra rows changes no certificate count; the two verification filters differ only in mode and in whether DeepSeek's two constrained rows are kept
section,key,label,n,binding,share,note
scope,all_e1_certificates,"every E1 certificate (8 arms, both modes, both thinking settings, infra rows kept)",33566,2515,0.074927,LB==0 on 2515 of them; 0 certificates have 0<LB<1; min positive LB 3.0 bh
scope,all_modes_noinfra,"both modes, infra rows dropped, all ten arm configurations",33566,2515,0.074927,LB==0 on 2515 of them; 0 certificates have 0<LB<1; min positive LB 3.0 bh
scope,constrained_all_arms,"constrained mode, all ten arm configurations, infra rows kept",29980,2206,0.073582,LB==0 on 2206 of them; 0 certificates have 0<LB<1; min positive LB 3.0 bh
scope,constrained_all_arms_noinfra,"constrained mode, all ten arm configurations, infra rows dropped (THE REPORTED SCOPE)",29980,2206,0.073582,LB==0 on 2206 of them; 0 certificates have 0<LB<1; min positive LB 3.0 bh
scope,capability_constrained_noinfra,"constrained mode, capability set (DeepSeek's two rows excluded), infra rows dropped",28631,2087,0.072893,LB==0 on 2087 of them; 0 certificates have 0<LB<1; min positive LB 3.0 bh
scope,free_all_arms_noinfra,"free mode, all arm configurations, infra rows dropped",3586,309,0.086168,LB==0 on 309 of them; 0 certificates have 0<LB<1; min positive LB 3.0 bh
scope,accepted_only,"certificates the guard accepted at tau = 0.20, constrained mode, infra rows dropped",26149,2123,0.081189,LB==0 on 2123 of them; 0 certificates have 0<LB<1; min positive LB 3.0 bh
stratum,all_e1_certificates | c09_storm2_w80,"every E1 certificate (8 arms, both modes, both thinking settings, infra rows kept)",16995,0,0.000000,
stratum,all_e1_certificates | c10_replay_400,"every E1 certificate (8 arms, both modes, both thinking settings, infra rows kept)",9969,2515,0.252282,
stratum,all_e1_certificates | c10_storm2_w80,"every E1 certificate (8 arms, both modes, both thinking settings, infra rows kept)",6602,0,0.000000,
stratum,all_modes_noinfra | c09_storm2_w80,"both modes, infra rows dropped, all ten arm configurations",16995,0,0.000000,
stratum,all_modes_noinfra | c10_replay_400,"both modes, infra rows dropped, all ten arm configurations",9969,2515,0.252282,
stratum,all_modes_noinfra | c10_storm2_w80,"both modes, infra rows dropped, all ten arm configurations",6602,0,0.000000,
stratum,constrained_all_arms | c09_storm2_w80,"constrained mode, all ten arm configurations, infra rows kept",15131,0,0.000000,
stratum,constrained_all_arms | c10_replay_400,"constrained mode, all ten arm configurations, infra rows kept",9036,2206,0.244135,
stratum,constrained_all_arms | c10_storm2_w80,"constrained mode, all ten arm configurations, infra rows kept",5813,0,0.000000,
stratum,constrained_all_arms_noinfra | c09_storm2_w80,"constrained mode, all ten arm configurations, infra rows dropped (THE REPORTED SCOPE)",15131,0,0.000000,REPORTED SCOPE
stratum,constrained_all_arms_noinfra | c10_replay_400,"constrained mode, all ten arm configurations, infra rows dropped (THE REPORTED SCOPE)",9036,2206,0.244135,REPORTED SCOPE
stratum,constrained_all_arms_noinfra | c10_storm2_w80,"constrained mode, all ten arm configurations, infra rows dropped (THE REPORTED SCOPE)",5813,0,0.000000,REPORTED SCOPE
stratum,capability_constrained_noinfra | c09_storm2_w80,"constrained mode, capability set (DeepSeek's two rows excluded), infra rows dropped",14416,0,0.000000,
stratum,capability_constrained_noinfra | c10_replay_400,"constrained mode, capability set (DeepSeek's two rows excluded), infra rows dropped",8675,2087,0.240576,
stratum,capability_constrained_noinfra | c10_storm2_w80,"constrained mode, capability set (DeepSeek's two rows excluded), infra rows dropped",5540,0,0.000000,
