# DG8-A. The Eq. 2 gap-denominator floor: binding share and ell sensitivity
# generated 2026-08-14 18:23:56 +0800 by code/scripts/dg8_floor.py (l1-dg8-floor-1)
# Eq. 2: gap = (obj - LB) / max(LB, ell), ell = 1 weighted business hour (manuscript/drafts/s3_formulation.tex:207-219)
# self-check 1: Eq.2 at ell=1 reproduces the logged certificate_gap on 33404 certificates, 0 mismatches, max |delta| 0.0
# self-check 2: 912 published cells of Table 8 (analysis/T6_tau_calibration.csv sha256 2b4feaf7fb9d931c0ec865ca110b20114fc97ffd77012f4320e41a7ac8c99949) reproduced from the raw verdict logs, 0 mismatches
# results/e1_eval_qwen14b/verdicts_G_CERT.jsonl sha256 7aa71f03804c3213d7c842ddf1d917f96fa54f4190d076de41187e5177fbcea0
# results/e1_eval_qwen14b/verdicts_G_FEAS.jsonl sha256 1201506471f7d4690bae37d34a8b8e2cb677696797e64c5ce809c10f4fada8b8
# results/e1_eval_qwen27b/verdicts_G_CERT.jsonl sha256 59f9a49feb1d83cd82f3ac9bbfc1075f3bba80f28e0d50733f62e6acb37122b8
# results/e1_eval_qwen27b/verdicts_G_FEAS.jsonl sha256 9b774dd62cdb6f1f8c38a0855a09b17b380a4dbde78f6fa80c98e099e22a3243
# results/e1_eval_glm9b/verdicts_G_CERT.jsonl sha256 8d020fa65870c4614fc47806d8cd78a7d00b61e2295a4babeebcc2cd7aa42d79
# results/e1_eval_glm9b/verdicts_G_FEAS.jsonl sha256 6eb64c75f966cc42939c8d7b40d23576c3c2492a4e8faf9071e16a6e606e4a30
# results/e1_eval_gpt54mini/verdicts_G_CERT.jsonl sha256 fca80b7f847e7826942c8cbb008ce84be0931cf808bca28e661b56e9785d97e8
# results/e1_eval_gpt54mini/verdicts_G_FEAS.jsonl sha256 b3534a857c889622916becf54b1ea2eec540e63d8375c65f56f07e98132b318f
# results/e1_eval_deepseek/verdicts_G_CERT.jsonl sha256 5c03ca0b5ae739bd89388dcbcc7226c27e93384508e134dfb2afa6fb7f431208
# results/e1_eval_deepseek/verdicts_G_FEAS.jsonl sha256 418eaa3f06de2f41b6c525222e4b165a06c58cfe3302081ed11375e28682e689
# results/e1_eval_sonnet5/verdicts_G_CERT.jsonl sha256 374dd1a0edc50802d25a40563d0ed6f64ecea4c65c5d4fc1fee79cea5a881fbc
# results/e1_eval_sonnet5/verdicts_G_FEAS.jsonl sha256 3980eb3c53caabb656ca7e922eadef65fb47dd20cbfae5ecd0cdcbefb1f09e98
# results/e1_eval_opus5/verdicts_G_CERT.jsonl sha256 30805ed2a08c551150a3a5a4ee43d363a74638886e3424c8faaf44195dcee517
# results/e1_eval_opus5/verdicts_G_FEAS.jsonl sha256 767fa132db4aded9369c74f4be0d8584c7bb3fd7e25f0cf64f537ef6e2111afa
# results/e1_eval_sol/verdicts_G_CERT.jsonl sha256 5b7aa9b1a0a863a4e415ad0189fdb8252a6b9843184603bece890893a497a795
# results/e1_eval_sol/verdicts_G_FEAS.jsonl sha256 990f1cc648268d7ad1b6cc8a3fe5d94777a339d208e2f5e0ce7587f01dfa426b
# REPORTED SCOPE: constrained_all_arms_noinfra (constrained mode, all ten arm configurations, infra rows dropped (THE REPORTED SCOPE))
# reconciliation: 0 of 33404 certificate-carrying rows carry an infra_error finding, so dropping infra rows changes no certificate count; the two verification filters differ only in mode and in whether DeepSeek's two constrained rows are kept
section,key,label,n,binding,share,note
scope,all_e1_certificates,"every E1 certificate (8 arms, both modes, both thinking settings, infra rows kept)",33404,2511,0.075171,LB==0 on 2511 of them; 0 certificates have 0<LB<1; min positive LB 3.0 bh
scope,all_modes_noinfra,"both modes, infra rows dropped, all ten arm configurations",33404,2511,0.075171,LB==0 on 2511 of them; 0 certificates have 0<LB<1; min positive LB 3.0 bh
scope,constrained_all_arms,"constrained mode, all ten arm configurations, infra rows kept",29818,2202,0.073848,LB==0 on 2202 of them; 0 certificates have 0<LB<1; min positive LB 3.0 bh
scope,constrained_all_arms_noinfra,"constrained mode, all ten arm configurations, infra rows dropped (THE REPORTED SCOPE)",29818,2202,0.073848,LB==0 on 2202 of them; 0 certificates have 0<LB<1; min positive LB 3.0 bh
scope,capability_constrained_noinfra,"constrained mode, capability set (DeepSeek's two rows excluded), infra rows dropped",28469,2083,0.073167,LB==0 on 2083 of them; 0 certificates have 0<LB<1; min positive LB 3.0 bh
scope,free_all_arms_noinfra,"free mode, all arm configurations, infra rows dropped",3586,309,0.086168,LB==0 on 309 of them; 0 certificates have 0<LB<1; min positive LB 3.0 bh
scope,accepted_only,"certificates the guard accepted at tau = 0.20, constrained mode, infra rows dropped",25994,2119,0.081519,LB==0 on 2119 of them; 0 certificates have 0<LB<1; min positive LB 3.0 bh
stratum,all_e1_certificates | c09_storm2_w80,"every E1 certificate (8 arms, both modes, both thinking settings, infra rows kept)",16897,0,0.000000,
stratum,all_e1_certificates | c10_replay_400,"every E1 certificate (8 arms, both modes, both thinking settings, infra rows kept)",9930,2511,0.252870,
stratum,all_e1_certificates | c10_storm2_w80,"every E1 certificate (8 arms, both modes, both thinking settings, infra rows kept)",6577,0,0.000000,
stratum,all_modes_noinfra | c09_storm2_w80,"both modes, infra rows dropped, all ten arm configurations",16897,0,0.000000,
stratum,all_modes_noinfra | c10_replay_400,"both modes, infra rows dropped, all ten arm configurations",9930,2511,0.252870,
stratum,all_modes_noinfra | c10_storm2_w80,"both modes, infra rows dropped, all ten arm configurations",6577,0,0.000000,
stratum,constrained_all_arms | c09_storm2_w80,"constrained mode, all ten arm configurations, infra rows kept",15033,0,0.000000,
stratum,constrained_all_arms | c10_replay_400,"constrained mode, all ten arm configurations, infra rows kept",8997,2202,0.244748,
stratum,constrained_all_arms | c10_storm2_w80,"constrained mode, all ten arm configurations, infra rows kept",5788,0,0.000000,
stratum,constrained_all_arms_noinfra | c09_storm2_w80,"constrained mode, all ten arm configurations, infra rows dropped (THE REPORTED SCOPE)",15033,0,0.000000,REPORTED SCOPE
stratum,constrained_all_arms_noinfra | c10_replay_400,"constrained mode, all ten arm configurations, infra rows dropped (THE REPORTED SCOPE)",8997,2202,0.244748,REPORTED SCOPE
stratum,constrained_all_arms_noinfra | c10_storm2_w80,"constrained mode, all ten arm configurations, infra rows dropped (THE REPORTED SCOPE)",5788,0,0.000000,REPORTED SCOPE
stratum,capability_constrained_noinfra | c09_storm2_w80,"constrained mode, capability set (DeepSeek's two rows excluded), infra rows dropped",14318,0,0.000000,
stratum,capability_constrained_noinfra | c10_replay_400,"constrained mode, capability set (DeepSeek's two rows excluded), infra rows dropped",8636,2083,0.241200,
stratum,capability_constrained_noinfra | c10_storm2_w80,"constrained mode, capability set (DeepSeek's two rows excluded), infra rows dropped",5515,0,0.000000,
