# generated 2026-08-17 17:51:50 +0800 by e3_analyze.py (l1-e3-analysis-1)
# E3 dedup rule: last row per (arm, budget_level, pipeline, repeat, item_id); earlier rows are superseded attempts
# suite suite.jsonl sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
# adjustment schema sha256 1115fa83d8910ed18a4fa1a421e80aaf4629f4c91fc22f83c81ba32c3fa39321
# E3 slice E3-240 sha256 84b24f0232754344a4c16bcbe9e697b12aef9c707661a365c111424ee861e3e5 (240 items)
# guard configurations: UNGUARDED b932b4a480c187968da8445242479be77d62341b7f35753f9cba7fdc3500dc89, G_FEAS 6176c8978a84adf727594d2a7a574dad6e03628e1d3cdddefbf76cfa79122390, G_CERT 52c094406252bf1ab57350d1ec4f9165f8bc4f7d83df2b99e1fb52356e829a42
# ladder anchors: /home/ziheng/PaperL1/analysis/ladder (reconciliation 4208/4208 passed)
# /home/ziheng/PaperL1/results/e3_qwen14b/trajectories.jsonl sha256 604f356e6dc1625f83c816221fe87a61676a25cfcb1d7942fb70461f699c1204
# /home/ziheng/PaperL1/results/e3_qwen14b/calls.jsonl sha256 02b7d7d6018f16185c58c0c6db68aa04ece5e0071711ed35f388bd0eb90ff571
# /home/ziheng/PaperL1/results/e3_replay_qwen14b/verdicts.jsonl sha256 02000960325ccbef18394354273795ab22638e252eb7a1f4478a8ad26ad99606
# /home/ziheng/PaperL1/results/e3_replay_qwen14b/summary.json sha256 5db2ae0bb56ffb3cd22822db4e1535aec85967dda806639384344e9898153d5f
# /home/ziheng/PaperL1/results/e3_qwen27b/trajectories.jsonl sha256 027f860346b1a8699699f98b05021a57f3087053d87d740770024d012bd1f278
# /home/ziheng/PaperL1/results/e3_qwen27b/calls.jsonl sha256 465f593d8d41de1e32fe3bf0d1e53d39936a238d38580272b2b1bf89daebe699
# /home/ziheng/PaperL1/results/e3_replay_qwen27b/verdicts.jsonl sha256 a21c32d9ff46d67068822a7b95db6bb4041d268e6816bf7351af8899ef3462de
# /home/ziheng/PaperL1/results/e3_replay_qwen27b/summary.json sha256 857e61c9e8cb14d8b1bd2b391da3a187e9917d2b47c10839898994a8779622ee
# /home/ziheng/PaperL1/results/e3_openai/trajectories.jsonl sha256 a43366e597f6d8b2d4daffc7aebc3c05aa81bbb589a47b61e51a28054483b788
# /home/ziheng/PaperL1/results/e3_openai/calls.jsonl sha256 d77aca570ce5a50376931a1ae0d35fff1ed3fea87895e83b6c3a7ef8604f1136
# /home/ziheng/PaperL1/results/e3_replay_openai/verdicts.jsonl sha256 168a8b20626a3b70ea16308f7a56af95abe146da4e5607fdb3d3b6f36692dfee
# /home/ziheng/PaperL1/results/e3_replay_openai/summary.json sha256 ce1e2d5d91be629bf059f7d3c8e0efb53b698f89a07ace4fd5eb397b459fe62f
# /home/ziheng/PaperL1/results/e3_deepseek/trajectories.jsonl sha256 4d34fcdb78f405748b1cd8b7784f4b37f059c12a59232629b059f4593d04197f
# /home/ziheng/PaperL1/results/e3_deepseek/calls.jsonl sha256 e27dd7d19e9b1613dab14d2b85bc49c97b3471e52d4880f3e6ab8367e230b7c5
# /home/ziheng/PaperL1/results/e3_replay_deepseek/verdicts.jsonl sha256 8e42a2c7a2730cee28e6de7aba54b4f96f88c87a712eb5a95c83fb8549106d4b
# /home/ziheng/PaperL1/results/e3_replay_deepseek/summary.json sha256 71a18e38480b7f4c69cf1a64175231c5224f8361300d2f0f77b35a9f3c5b13a9
# /home/ziheng/PaperL1/results/e3_sonnet/trajectories.jsonl sha256 36fb12389daceec2a8b4a11779c4593c3af3bc25887c8888fb94d3aba49a129e
# /home/ziheng/PaperL1/results/e3_sonnet/calls.jsonl sha256 951b14ebefb47a1fe40b4caffab1c97f397551ff4d921e9e4e00f47678c87753
# /home/ziheng/PaperL1/results/e3_replay_sonnet/verdicts.jsonl sha256 8784318b09fb75599bb1d562cf156c3838b407833647fe82712e333b3d46ca36
# /home/ziheng/PaperL1/results/e3_replay_sonnet/summary.json sha256 220adec6a82e3698c5d713681dd05f902ad4f943fd1fc8147ce427e8b319e7ed
# /home/ziheng/PaperL1/results/e3_opus/trajectories.jsonl sha256 e8e32230b294a996e3e6cca11deae0fabf5f3d9d157707d540d628e189c27772
# /home/ziheng/PaperL1/results/e3_opus/calls.jsonl sha256 9e0d0e5ec13594ddb69278766aaadcff2d0e89dfb1c7bc78e422bac1a019ade6
# /home/ziheng/PaperL1/results/e3_replay_opus/verdicts.jsonl sha256 9af87fa798a1aede09a82db34cadee9455d6d20b65302c16f0a4ac89b2453a17
# /home/ziheng/PaperL1/results/e3_replay_opus/summary.json sha256 c4ee48fb4393dcaff42794cf3b16690777bf827faed96f0df60a48b823ccc2f1
# every verdict is recomputed from the trajectory log with e3_replay's own evaluation path and asserted equal to results/e3_replay_*; no number is adjusted to make an assertion pass
step,step_meaning,arm,model,mode,scope,items,share_applied_with_certificate,share_applied_uncertified,share_referred_to_human,share_blocked_correctly,share_blocked_falsely,share_execution_failed,share_unhandled,share_model_refused,violation_pass_through,violation_pass_through_nonempty,violation_pass_through_strict,violation_pass_through_strict_nonempty,violation_pass_through_fault,certified_gap_median,warranted_outcome_rate,wwt_original_mean_bh,wwt_original_median_bh,wwt_original_max_bh,wwt_original_vs_rule_bh,wwt_original_median_vs_rule_bh,budget_level,budget_tokens,variant,in_freeze,repeats,rule_scope,wwt_original_vs_rule_fullsuite_bh,cap_binding_share,all_tokens_median,variant_tokens_median,n_referred_empty_ops
1. RULE/SOLVER,as-is floor: instructions are not applied at all,,,-,e3_240,240,,,,,,,1.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,703.0929,637.7516,2859.5096,0.0000,0.0000,,,,,,E3-240 slice,,,,,
2. ORACLE,"as-is ceiling: ground-truth translation, no automated assurance",,,-,e3_240,240,,0.633333,0.266667,,,0.100000,,,0.388889,0.388889,0.187500,0.187500,0.187500,0.017173,0.266667,745.9425,637.7516,2859.5096,42.8496,0.0000,,,,,,E3-240 slice,,,,,
1. RULE/SOLVER,as-is floor: instructions are not applied at all,,,-,e3_oracle_domain,120,,,,,,,1.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,719.8731,637.7516,2859.5096,16.7802,0.0000,,,,,,E3-240 slice,,,,,
2. ORACLE,"as-is ceiling: ground-truth translation, no automated assurance",,,-,e3_oracle_domain,120,,0.800000,0.200000,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.007960,0.200000,719.7939,637.7516,2859.5096,16.7009,0.0000,,,,,,E3-240 slice,,,,,
1. RULE/SOLVER,as-is floor: instructions are not applied at all,,,-,e3_benign,96,,,,,,,1.000000,,,,,,,,0.000000,690.3013,573.4680,2859.5096,-12.7917,-64.2836,,,,,,E3-240 slice,,,,,
2. ORACLE,"as-is ceiling: ground-truth translation, no automated assurance",,,-,e3_benign,96,,1.000000,,,,,,,,,,,,0.007960,0.000000,690.2022,573.4680,2859.5096,-12.8907,-64.2836,,,,,,E3-240 slice,,,,,
6. SINGLE+G,one tool-equipped model behind G-CERT,qwen14b,"Qwen3-14B (open, local, BF16)",M_constrained / - / tight / SINGLE+G,e3_240,480,0.356250,,0.506250,0.127083,0.010417,,,,0.250000,0.250000,0.173611,0.173611,0.125000,0.017173,0.989583,703.8005,637.7516,2859.5096,0.7076,0.0000,tight,4500,SINGLE+G,True,2,E3-240 slice,11.7428,0.570833,3005.0,3005.0,243
6. SINGLE+G,one tool-equipped model behind G-CERT,qwen14b,"Qwen3-14B (open, local, BF16)",M_constrained / - / tight / SINGLE+G,e3_oracle_domain,240,0.462500,,0.516667,,0.020833,,,,0.250000,0.250000,0.250000,0.250000,0.250000,0.017173,0.979167,720.2844,637.7516,2859.5096,17.1915,0.0000,tight,4500,SINGLE+G,True,2,E3-240 slice,28.2267,0.466667,3031.5,3031.5,124
6. SINGLE+G,one tool-equipped model behind G-CERT,qwen14b,"Qwen3-14B (open, local, BF16)",M_constrained / - / tight / SINGLE+G,e3_benign,192,0.515625,,0.458333,,0.026042,,,,,,,,,0.017038,0.973958,690.2047,573.4680,2859.5096,-12.8883,-64.2836,tight,4500,SINGLE+G,True,2,E3-240 slice,-1.8530,0.515625,3056.0,3056.0,88
7. MULTI,"MASC-style role pipeline, guarded and unguarded",qwen14b,"Qwen3-14B (open, local, BF16)",M_constrained / - / tight / MULTI-G,e3_240,480,0.018750,,0.979167,,0.002083,,,,0.020833,0.020833,0.020833,0.020833,0.006944,0.003614,0.997917,703.0929,637.7516,2859.5096,0.0000,0.0000,tight,4500,MULTI-G,True,2,E3-240 slice,11.0352,1.000000,3646.0,3646.0,470
7. MULTI,"MASC-style role pipeline, guarded and unguarded",qwen14b,"Qwen3-14B (open, local, BF16)",M_constrained / - / tight / MULTI-G,e3_oracle_domain,240,0.020833,,0.975000,,0.004167,,,,0.041667,0.041667,0.041667,0.041667,0.041667,0.003614,0.995833,719.8731,637.7516,2859.5096,16.7802,0.0000,tight,4500,MULTI-G,True,2,E3-240 slice,27.8154,1.000000,3660.0,3660.0,234
7. MULTI,"MASC-style role pipeline, guarded and unguarded",qwen14b,"Qwen3-14B (open, local, BF16)",M_constrained / - / tight / MULTI-G,e3_benign,192,0.015625,,0.979167,,0.005208,,,,,,,,,0.003614,0.994792,690.3013,573.4680,2859.5096,-12.7917,-64.2836,tight,4500,MULTI-G,True,2,E3-240 slice,-1.7564,1.000000,3658.0,3658.0,188
7. MULTI,"MASC-style role pipeline, guarded and unguarded",qwen14b,"Qwen3-14B (open, local, BF16)",M_constrained / - / tight / MULTI-UG,e3_240,480,,0.020833,0.979167,,,,,,0.020833,0.020833,0.020833,0.020833,0.006944,,0.979167,703.3984,637.7516,2859.5096,0.3055,0.0000,tight,4500,MULTI-UG,True,2,E3-240 slice,11.3407,1.000000,3646.0,3646.0,470
7. MULTI,"MASC-style role pipeline, guarded and unguarded",qwen14b,"Qwen3-14B (open, local, BF16)",M_constrained / - / tight / MULTI-UG,e3_oracle_domain,240,,0.025000,0.975000,,,,,,0.041667,0.041667,0.041667,0.041667,0.041667,,0.975000,720.4841,637.7516,2859.5096,17.3912,0.0000,tight,4500,MULTI-UG,True,2,E3-240 slice,28.4264,1.000000,3660.0,3660.0,234
7. MULTI,"MASC-style role pipeline, guarded and unguarded",qwen14b,"Qwen3-14B (open, local, BF16)",M_constrained / - / tight / MULTI-UG,e3_benign,192,,0.020833,0.979167,,,,,,,,,,,,0.979167,691.0650,573.4680,2859.5096,-12.0279,-64.2836,tight,4500,MULTI-UG,True,2,E3-240 slice,-0.9927,1.000000,3658.0,3658.0,188
