# generated 2026-08-17 17:51:50 +0800 by e3_analyze.py (l1-e3-analysis-1)
# E3 dedup rule: last row per (arm, budget_level, pipeline, repeat, item_id); earlier rows are superseded attempts
# suite suite.jsonl sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
# adjustment schema sha256 1115fa83d8910ed18a4fa1a421e80aaf4629f4c91fc22f83c81ba32c3fa39321
# E3 slice E3-240 sha256 84b24f0232754344a4c16bcbe9e697b12aef9c707661a365c111424ee861e3e5 (240 items)
# guard configurations: UNGUARDED b932b4a480c187968da8445242479be77d62341b7f35753f9cba7fdc3500dc89, G_FEAS 6176c8978a84adf727594d2a7a574dad6e03628e1d3cdddefbf76cfa79122390, G_CERT 52c094406252bf1ab57350d1ec4f9165f8bc4f7d83df2b99e1fb52356e829a42
# ladder anchors: /home/ziheng/PaperL1/analysis/ladder (reconciliation 4208/4208 passed)
# /home/ziheng/PaperL1/results/e3_qwen14b/trajectories.jsonl sha256 604f356e6dc1625f83c816221fe87a61676a25cfcb1d7942fb70461f699c1204
# /home/ziheng/PaperL1/results/e3_qwen14b/calls.jsonl sha256 02b7d7d6018f16185c58c0c6db68aa04ece5e0071711ed35f388bd0eb90ff571
# /home/ziheng/PaperL1/results/e3_replay_qwen14b/verdicts.jsonl sha256 02000960325ccbef18394354273795ab22638e252eb7a1f4478a8ad26ad99606
# /home/ziheng/PaperL1/results/e3_replay_qwen14b/summary.json sha256 5db2ae0bb56ffb3cd22822db4e1535aec85967dda806639384344e9898153d5f
# /home/ziheng/PaperL1/results/e3_qwen27b/trajectories.jsonl sha256 027f860346b1a8699699f98b05021a57f3087053d87d740770024d012bd1f278
# /home/ziheng/PaperL1/results/e3_qwen27b/calls.jsonl sha256 465f593d8d41de1e32fe3bf0d1e53d39936a238d38580272b2b1bf89daebe699
# /home/ziheng/PaperL1/results/e3_replay_qwen27b/verdicts.jsonl sha256 a21c32d9ff46d67068822a7b95db6bb4041d268e6816bf7351af8899ef3462de
# /home/ziheng/PaperL1/results/e3_replay_qwen27b/summary.json sha256 857e61c9e8cb14d8b1bd2b391da3a187e9917d2b47c10839898994a8779622ee
# /home/ziheng/PaperL1/results/e3_openai/trajectories.jsonl sha256 a43366e597f6d8b2d4daffc7aebc3c05aa81bbb589a47b61e51a28054483b788
# /home/ziheng/PaperL1/results/e3_openai/calls.jsonl sha256 d77aca570ce5a50376931a1ae0d35fff1ed3fea87895e83b6c3a7ef8604f1136
# /home/ziheng/PaperL1/results/e3_replay_openai/verdicts.jsonl sha256 168a8b20626a3b70ea16308f7a56af95abe146da4e5607fdb3d3b6f36692dfee
# /home/ziheng/PaperL1/results/e3_replay_openai/summary.json sha256 ce1e2d5d91be629bf059f7d3c8e0efb53b698f89a07ace4fd5eb397b459fe62f
# /home/ziheng/PaperL1/results/e3_deepseek/trajectories.jsonl sha256 4d34fcdb78f405748b1cd8b7784f4b37f059c12a59232629b059f4593d04197f
# /home/ziheng/PaperL1/results/e3_deepseek/calls.jsonl sha256 e27dd7d19e9b1613dab14d2b85bc49c97b3471e52d4880f3e6ab8367e230b7c5
# /home/ziheng/PaperL1/results/e3_replay_deepseek/verdicts.jsonl sha256 8e42a2c7a2730cee28e6de7aba54b4f96f88c87a712eb5a95c83fb8549106d4b
# /home/ziheng/PaperL1/results/e3_replay_deepseek/summary.json sha256 71a18e38480b7f4c69cf1a64175231c5224f8361300d2f0f77b35a9f3c5b13a9
# /home/ziheng/PaperL1/results/e3_sonnet/trajectories.jsonl sha256 36fb12389daceec2a8b4a11779c4593c3af3bc25887c8888fb94d3aba49a129e
# /home/ziheng/PaperL1/results/e3_sonnet/calls.jsonl sha256 951b14ebefb47a1fe40b4caffab1c97f397551ff4d921e9e4e00f47678c87753
# /home/ziheng/PaperL1/results/e3_replay_sonnet/verdicts.jsonl sha256 8784318b09fb75599bb1d562cf156c3838b407833647fe82712e333b3d46ca36
# /home/ziheng/PaperL1/results/e3_replay_sonnet/summary.json sha256 220adec6a82e3698c5d713681dd05f902ad4f943fd1fc8147ce427e8b319e7ed
# /home/ziheng/PaperL1/results/e3_opus/trajectories.jsonl sha256 e8e32230b294a996e3e6cca11deae0fabf5f3d9d157707d540d628e189c27772
# /home/ziheng/PaperL1/results/e3_opus/calls.jsonl sha256 9e0d0e5ec13594ddb69278766aaadcff2d0e89dfb1c7bc78e422bac1a019ade6
# /home/ziheng/PaperL1/results/e3_replay_opus/verdicts.jsonl sha256 9af87fa798a1aede09a82db34cadee9455d6d20b65302c16f0a4ac89b2453a17
# /home/ziheng/PaperL1/results/e3_replay_opus/summary.json sha256 c4ee48fb4393dcaff42794cf3b16690777bf827faed96f0df60a48b823ccc2f1
# every verdict is recomputed from the trajectory log with e3_replay's own evaluation path and asserted equal to results/e3_replay_*; no number is adjusted to make an assertion pass
arm,model,tier,budget_level,budget_tokens,variant,in_freeze,pipeline,repeats,n,items,n_applied_with_certificate,n_applied_uncertified,n_blocked_correct,n_blocked_false,n_referred,n_execution_failed,n_model_refused,share_applied_with_certificate,share_applied_uncertified,share_blocked_correct,share_blocked_false,share_referred,share_execution_failed,share_model_refused,violations_n,violation_pass_through,violation_pass_through_nonempty,violation_pass_through_strict,violation_pass_through_strict_nonempty,violation_pass_through_fault,benign_n,false_block_rate,applied_n,certified_gap_coverage,certified_gap_median,certified_gap_p90,certified_gap_max,warranted_outcome_rate,wwt_original_mean_bh,wwt_original_median_bh,wwt_original_p90_bh,wwt_original_max_bh,wwt_vs_rule_mean_bh,wwt_vs_rule_median_of_diff_bh,wwt_median_minus_rule_median_bh,all_tokens_mean,all_tokens_median,all_tokens_p90,variant_tokens_mean,variant_tokens_median,variant_tokens_p90,tokens_basis,usd_total,variant_usd_total,wall_s_mean,wall_s_median,wall_s_p90,wall_s_total,cap_binding_share,n_budget_exhausted,n_calls_mean,n_calls_median,proposals_mean,proposals_when_accepted_mean,proposals_per_accepted_adjustment,n_with_revision,revisions_mean,tool_rounds_total,tool_get_state,tool_preview_dispatch,tool_rounds_per_trajectory,vendor_refused_calls,traj_with_vendor_refused_call
qwen14b,"Qwen3-14B (open, local, BF16)",1,loose,18000,MULTI-G,True,MULTI,2,480,240,336,0,5,2,137,0,0,0.700000,0.000000,0.010417,0.004167,0.285417,0.000000,0.000000,288,0.559028,0.559028,0.454861,0.454861,0.329861,192,0.010417,336,1.000000,0.005462,0.106119,0.174702,0.995833,705.7174,637.7516,1422.7884,2859.5096,2.6245,0.0000,0.0000,10941.2,10283.5,14400.0,10941.2,10283.5,14400.0,whole trajectory (the revision tail is this variant's own spend),0.000000,0.000000,12.253,11.055,16.466,5881.3,0.041667,20,5.93,6.0,1.277,1.021,1.824,107,0.277,820,29,791,1.708,0,0
qwen14b,"Qwen3-14B (open, local, BF16)",1,loose,18000,MULTI-UG,True,MULTI,2,480,240,0,392,0,0,45,43,0,0.000000,0.816667,0.000000,0.000000,0.093750,0.089583,0.000000,288,0.736111,0.736111,0.625000,0.625000,0.493056,192,0.000000,392,0.000000,,,,0.093750,744.9189,652.9636,1566.9268,2859.5096,41.8259,0.0000,15.2120,10941.2,10283.5,14400.0,10425.8,9986.5,13134.0,up to the first final (the revision tail belongs to the guarded variants),0.000000,0.000000,12.253,11.055,16.466,5881.3,0.041667,20,5.93,6.0,1.000,,,0,0.000,820,29,791,1.708,0,0
qwen14b,"Qwen3-14B (open, local, BF16)",1,loose,18000,SINGLE+G,True,SINGLE,2,480,240,318,0,8,2,152,0,0,0.662500,0.000000,0.016667,0.004167,0.316667,0.000000,0.000000,288,0.472222,0.472222,0.368056,0.368056,0.243056,192,0.010417,318,1.000000,0.010113,0.105004,0.174702,0.995833,703.8699,637.7516,1348.7516,2859.5096,0.7769,0.0000,0.0000,5012.1,4434.0,6932.0,5012.1,4434.0,6932.0,whole trajectory (the revision tail is this variant's own spend),0.000000,0.000000,3.658,2.616,6.595,1756.0,0.037500,18,2.80,3.0,1.304,1.006,1.969,92,0.304,403,73,330,0.840,0,0
qwen14b,"Qwen3-14B (open, local, BF16)",1,loose,18000,SINGLE-UG *,False,SINGLE,2,480,240,0,376,0,0,72,32,0,0.000000,0.783333,0.000000,0.000000,0.150000,0.066667,0.000000,288,0.659722,0.659722,0.548611,0.548611,0.423611,192,0.000000,376,0.000000,,,,0.150000,745.3230,652.9636,1443.9180,2859.5096,42.2300,0.0000,15.2120,5012.1,4434.0,6932.0,4410.9,3954.0,6302.0,up to the first final (the revision tail belongs to the guarded variants),0.000000,0.000000,3.658,2.616,6.595,1756.0,0.037500,18,2.80,3.0,1.000,,,0,0.000,403,73,330,0.840,0,0
qwen14b,"Qwen3-14B (open, local, BF16)",1,tight,4500,MULTI-G,True,MULTI,2,480,240,9,0,0,1,470,0,0,0.018750,0.000000,0.000000,0.002083,0.979167,0.000000,0.000000,288,0.020833,0.020833,0.020833,0.020833,0.006944,192,0.005208,9,1.000000,0.003614,0.013713,0.013713,0.997917,703.0929,637.7516,1339.9804,2859.5096,0.0000,0.0000,0.0000,3671.6,3646.0,4425.0,3671.6,3646.0,4425.0,whole trajectory (the revision tail is this variant's own spend),0.000000,0.000000,6.158,5.776,7.781,2955.6,1.000000,480,2.30,2.0,1.000,1.000,53.333,0,0.000,517,29,488,1.077,0,0
qwen14b,"Qwen3-14B (open, local, BF16)",1,tight,4500,MULTI-UG,True,MULTI,2,480,240,0,10,0,0,470,0,0,0.000000,0.020833,0.000000,0.000000,0.979167,0.000000,0.000000,288,0.020833,0.020833,0.020833,0.020833,0.006944,192,0.000000,10,0.000000,,,,0.979167,703.3984,637.7516,1339.9804,2859.5096,0.3055,0.0000,0.0000,3671.6,3646.0,4425.0,3671.6,3646.0,4425.0,up to the first final (the revision tail belongs to the guarded variants),0.000000,0.000000,6.158,5.776,7.781,2955.6,1.000000,480,2.30,2.0,1.000,,,0,0.000,517,29,488,1.077,0,0
qwen14b,"Qwen3-14B (open, local, BF16)",1,tight,4500,SINGLE+G,True,SINGLE,2,480,240,171,0,61,5,243,0,0,0.356250,0.000000,0.127083,0.010417,0.506250,0.000000,0.000000,288,0.250000,0.250000,0.173611,0.173611,0.125000,192,0.026042,171,1.000000,0.017173,0.106119,0.174702,0.989583,703.8005,637.7516,1339.9804,2859.5096,0.7076,0.0000,0.0000,3308.7,3005.0,4088.0,3308.7,3005.0,4088.0,whole trajectory (the revision tail is this variant's own spend),0.000000,0.000000,2.608,2.174,4.029,1251.8,0.570833,274,2.05,2.0,1.004,1.000,2.819,2,0.004,391,74,317,0.815,0,0
qwen14b,"Qwen3-14B (open, local, BF16)",1,tight,4500,SINGLE-UG *,False,SINGLE,2,480,240,0,216,0,0,241,23,0,0.000000,0.450000,0.000000,0.000000,0.502083,0.047917,0.000000,288,0.392361,0.392361,0.309028,0.309028,0.253472,192,0.000000,216,0.000000,,,,0.502083,740.9464,637.7516,1443.9180,2859.5096,37.8535,0.0000,0.0000,3308.7,3005.0,4088.0,3302.0,2999.5,4070.0,up to the first final (the revision tail belongs to the guarded variants),0.000000,0.000000,2.608,2.174,4.029,1251.8,0.570833,274,2.05,2.0,1.000,,,0,0.000,391,74,317,0.815,0,0
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",2,loose,14000,MULTI-G,True,MULTI,1,240,240,159,0,15,5,61,0,0,0.662500,0.000000,0.062500,0.020833,0.254167,0.000000,0.000000,144,0.500000,0.500000,0.381944,0.381944,0.305556,96,0.052083,159,1.000000,0.007960,0.068275,0.174702,0.979167,705.9179,637.7516,1344.5468,2859.5096,2.8250,0.0000,0.0000,9515.6,9698.5,13344.0,9515.6,9698.5,13344.0,whole trajectory (the revision tail is this variant's own spend),0.000000,0.000000,22.972,20.842,32.755,5513.3,0.133333,32,5.05,5.0,1.196,1.031,1.805,26,0.196,227,33,194,0.946,0,0
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",2,loose,14000,MULTI-UG,True,MULTI,1,240,240,0,177,0,0,49,14,0,0.000000,0.737500,0.000000,0.000000,0.204167,0.058333,0.000000,144,0.625000,0.625000,0.500000,0.500000,0.423611,96,0.000000,177,0.000000,,,,0.204167,742.7066,652.9636,1443.9180,2859.5096,39.6137,0.0000,15.2120,9515.6,9698.5,13344.0,9133.1,8525.5,12916.0,up to the first final (the revision tail belongs to the guarded variants),0.000000,0.000000,22.972,20.842,32.755,5513.3,0.133333,32,5.05,5.0,1.000,,,0,0.000,227,33,194,0.946,0,0
