# generated 2026-08-17 17:51:50 +0800 by e3_analyze.py (l1-e3-analysis-1)
# E3 dedup rule: last row per (arm, budget_level, pipeline, repeat, item_id); earlier rows are superseded attempts
# suite suite.jsonl sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
# adjustment schema sha256 1115fa83d8910ed18a4fa1a421e80aaf4629f4c91fc22f83c81ba32c3fa39321
# E3 slice E3-240 sha256 84b24f0232754344a4c16bcbe9e697b12aef9c707661a365c111424ee861e3e5 (240 items)
# guard configurations: UNGUARDED b932b4a480c187968da8445242479be77d62341b7f35753f9cba7fdc3500dc89, G_FEAS 6176c8978a84adf727594d2a7a574dad6e03628e1d3cdddefbf76cfa79122390, G_CERT 52c094406252bf1ab57350d1ec4f9165f8bc4f7d83df2b99e1fb52356e829a42
# ladder anchors: /home/ziheng/PaperL1/analysis/ladder (reconciliation 4208/4208 passed)
# /home/ziheng/PaperL1/results/e3_qwen14b/trajectories.jsonl sha256 604f356e6dc1625f83c816221fe87a61676a25cfcb1d7942fb70461f699c1204
# /home/ziheng/PaperL1/results/e3_qwen14b/calls.jsonl sha256 02b7d7d6018f16185c58c0c6db68aa04ece5e0071711ed35f388bd0eb90ff571
# /home/ziheng/PaperL1/results/e3_replay_qwen14b/verdicts.jsonl sha256 02000960325ccbef18394354273795ab22638e252eb7a1f4478a8ad26ad99606
# /home/ziheng/PaperL1/results/e3_replay_qwen14b/summary.json sha256 5db2ae0bb56ffb3cd22822db4e1535aec85967dda806639384344e9898153d5f
# /home/ziheng/PaperL1/results/e3_qwen27b/trajectories.jsonl sha256 027f860346b1a8699699f98b05021a57f3087053d87d740770024d012bd1f278
# /home/ziheng/PaperL1/results/e3_qwen27b/calls.jsonl sha256 465f593d8d41de1e32fe3bf0d1e53d39936a238d38580272b2b1bf89daebe699
# /home/ziheng/PaperL1/results/e3_replay_qwen27b/verdicts.jsonl sha256 a21c32d9ff46d67068822a7b95db6bb4041d268e6816bf7351af8899ef3462de
# /home/ziheng/PaperL1/results/e3_replay_qwen27b/summary.json sha256 857e61c9e8cb14d8b1bd2b391da3a187e9917d2b47c10839898994a8779622ee
# /home/ziheng/PaperL1/results/e3_openai/trajectories.jsonl sha256 a43366e597f6d8b2d4daffc7aebc3c05aa81bbb589a47b61e51a28054483b788
# /home/ziheng/PaperL1/results/e3_openai/calls.jsonl sha256 d77aca570ce5a50376931a1ae0d35fff1ed3fea87895e83b6c3a7ef8604f1136
# /home/ziheng/PaperL1/results/e3_replay_openai/verdicts.jsonl sha256 168a8b20626a3b70ea16308f7a56af95abe146da4e5607fdb3d3b6f36692dfee
# /home/ziheng/PaperL1/results/e3_replay_openai/summary.json sha256 ce1e2d5d91be629bf059f7d3c8e0efb53b698f89a07ace4fd5eb397b459fe62f
# /home/ziheng/PaperL1/results/e3_deepseek/trajectories.jsonl sha256 4d34fcdb78f405748b1cd8b7784f4b37f059c12a59232629b059f4593d04197f
# /home/ziheng/PaperL1/results/e3_deepseek/calls.jsonl sha256 e27dd7d19e9b1613dab14d2b85bc49c97b3471e52d4880f3e6ab8367e230b7c5
# /home/ziheng/PaperL1/results/e3_replay_deepseek/verdicts.jsonl sha256 8e42a2c7a2730cee28e6de7aba54b4f96f88c87a712eb5a95c83fb8549106d4b
# /home/ziheng/PaperL1/results/e3_replay_deepseek/summary.json sha256 71a18e38480b7f4c69cf1a64175231c5224f8361300d2f0f77b35a9f3c5b13a9
# /home/ziheng/PaperL1/results/e3_sonnet/trajectories.jsonl sha256 36fb12389daceec2a8b4a11779c4593c3af3bc25887c8888fb94d3aba49a129e
# /home/ziheng/PaperL1/results/e3_sonnet/calls.jsonl sha256 951b14ebefb47a1fe40b4caffab1c97f397551ff4d921e9e4e00f47678c87753
# /home/ziheng/PaperL1/results/e3_replay_sonnet/verdicts.jsonl sha256 8784318b09fb75599bb1d562cf156c3838b407833647fe82712e333b3d46ca36
# /home/ziheng/PaperL1/results/e3_replay_sonnet/summary.json sha256 220adec6a82e3698c5d713681dd05f902ad4f943fd1fc8147ce427e8b319e7ed
# /home/ziheng/PaperL1/results/e3_opus/trajectories.jsonl sha256 e8e32230b294a996e3e6cca11deae0fabf5f3d9d157707d540d628e189c27772
# /home/ziheng/PaperL1/results/e3_opus/calls.jsonl sha256 9e0d0e5ec13594ddb69278766aaadcff2d0e89dfb1c7bc78e422bac1a019ade6
# /home/ziheng/PaperL1/results/e3_replay_opus/verdicts.jsonl sha256 9af87fa798a1aede09a82db34cadee9455d6d20b65302c16f0a4ac89b2453a17
# /home/ziheng/PaperL1/results/e3_replay_opus/summary.json sha256 c4ee48fb4393dcaff42794cf3b16690777bf827faed96f0df60a48b823ccc2f1
# every verdict is recomputed from the trajectory log with e3_replay's own evaluation path and asserted equal to results/e3_replay_*; no number is adjusted to make an assertion pass
arm,model,subject,subject_kind,metric,metric_kind,tight,loose,delta_loose_minus_tight,sign_tight,sign_loose,ordering_flips
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE+G,variant,n,cost,480.000000,480.000000,0.000000,,,
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE+G,variant,cap_binding_share,cost,0.570833,0.037500,-0.533333,,,
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE+G,variant,all_tokens_median,cost,3005.000000,4434.000000,1429.000000,,,
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE+G,variant,variant_tokens_median,cost,3005.000000,4434.000000,1429.000000,,,
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE+G,variant,variant_tokens_mean,cost,3308.664583,5012.141667,1703.477083,,,
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE+G,variant,wall_s_mean,cost,2.607954,3.658385,1.050431,,,
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE+G,variant,usd_total,cost,0.000000,0.000000,0.000000,,,
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE+G,variant,wwt_original_mean_bh,outcome,703.800505,703.869860,0.069355,,,
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE+G,variant,wwt_original_median_bh,outcome,637.751600,637.751600,0.000000,,,
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE+G,variant,wwt_vs_rule_mean_bh,outcome,0.707582,0.776937,0.069355,,,
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE+G,variant,warranted_outcome_rate,outcome,0.989583,0.995833,0.006250,,,
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE+G,variant,violation_pass_through,outcome,0.250000,0.472222,0.222222,,,
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE+G,variant,violation_pass_through_strict,outcome,0.173611,0.368056,0.194444,,,
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE+G,variant,false_block_rate,outcome,0.026042,0.010417,-0.015625,,,
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE+G,variant,certified_gap_median,outcome,0.017173,0.010113,-0.007060,,,
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-G,variant,n,cost,480.000000,480.000000,0.000000,,,
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-G,variant,cap_binding_share,cost,1.000000,0.041667,-0.958333,,,
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-G,variant,all_tokens_median,cost,3646.000000,10283.500000,6637.500000,,,
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-G,variant,variant_tokens_median,cost,3646.000000,10283.500000,6637.500000,,,
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-G,variant,variant_tokens_mean,cost,3671.558333,10941.193750,7269.635417,,,
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-G,variant,wall_s_mean,cost,6.157586,12.252780,6.095194,,,
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-G,variant,usd_total,cost,0.000000,0.000000,0.000000,,,
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-G,variant,wwt_original_mean_bh,outcome,703.092923,705.717418,2.624495,,,
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-G,variant,wwt_original_median_bh,outcome,637.751600,637.751600,0.000000,,,
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-G,variant,wwt_vs_rule_mean_bh,outcome,0.000000,2.624495,2.624495,,,
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-G,variant,warranted_outcome_rate,outcome,0.997917,0.995833,-0.002083,,,
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-G,variant,violation_pass_through,outcome,0.020833,0.559028,0.538194,,,
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-G,variant,violation_pass_through_strict,outcome,0.020833,0.454861,0.434028,,,
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-G,variant,false_block_rate,outcome,0.005208,0.010417,0.005208,,,
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-G,variant,certified_gap_median,outcome,0.003614,0.005462,0.001848,,,
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-UG,variant,n,cost,480.000000,480.000000,0.000000,,,
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-UG,variant,cap_binding_share,cost,1.000000,0.041667,-0.958333,,,
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-UG,variant,all_tokens_median,cost,3646.000000,10283.500000,6637.500000,,,
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-UG,variant,variant_tokens_median,cost,3646.000000,9986.500000,6340.500000,,,
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-UG,variant,variant_tokens_mean,cost,3671.558333,10425.800000,6754.241667,,,
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-UG,variant,wall_s_mean,cost,6.157586,12.252780,6.095194,,,
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-UG,variant,usd_total,cost,0.000000,0.000000,0.000000,,,
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-UG,variant,wwt_original_mean_bh,outcome,703.398427,744.918853,41.520426,,,
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-UG,variant,wwt_original_median_bh,outcome,637.751600,652.963600,15.212000,,,
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-UG,variant,wwt_vs_rule_mean_bh,outcome,0.305503,41.825929,41.520426,,,
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-UG,variant,warranted_outcome_rate,outcome,0.979167,0.093750,-0.885417,,,
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-UG,variant,violation_pass_through,outcome,0.020833,0.736111,0.715278,,,
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-UG,variant,violation_pass_through_strict,outcome,0.020833,0.625000,0.604167,,,
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-UG,variant,false_block_rate,outcome,0.000000,0.000000,0.000000,,,
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-UG,variant,certified_gap_median,outcome,,,,,,
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE-UG *,variant,n,cost,480.000000,480.000000,0.000000,,,
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE-UG *,variant,cap_binding_share,cost,0.570833,0.037500,-0.533333,,,
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE-UG *,variant,all_tokens_median,cost,3005.000000,4434.000000,1429.000000,,,
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE-UG *,variant,variant_tokens_median,cost,2999.500000,3954.000000,954.500000,,,
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE-UG *,variant,variant_tokens_mean,cost,3302.022917,4410.862500,1108.839583,,,
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE-UG *,variant,wall_s_mean,cost,2.607954,3.658385,1.050431,,,
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE-UG *,variant,usd_total,cost,0.000000,0.000000,0.000000,,,
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE-UG *,variant,wwt_original_mean_bh,outcome,740.946444,745.322954,4.376510,,,
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE-UG *,variant,wwt_original_median_bh,outcome,637.751600,652.963600,15.212000,,,
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE-UG *,variant,wwt_vs_rule_mean_bh,outcome,37.853521,42.230031,4.376510,,,
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE-UG *,variant,warranted_outcome_rate,outcome,0.502083,0.150000,-0.352083,,,
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE-UG *,variant,violation_pass_through,outcome,0.392361,0.659722,0.267361,,,
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE-UG *,variant,violation_pass_through_strict,outcome,0.309028,0.548611,0.239583,,,
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE-UG *,variant,false_block_rate,outcome,0.000000,0.000000,0.000000,,,
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE-UG *,variant,certified_gap_median,outcome,,,,,,
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE+G minus MULTI-G,ordering,cap_binding_share,cost,-0.429167,-0.004167,0.425000,-,-,False
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE+G minus MULTI-G,ordering,all_tokens_median,cost,-641.000000,-5849.500000,-5208.500000,-,-,False
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE+G minus MULTI-G,ordering,variant_tokens_median,cost,-641.000000,-5849.500000,-5208.500000,-,-,False
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE+G minus MULTI-G,ordering,variant_tokens_mean,cost,-362.893750,-5929.052083,-5566.158333,-,-,False
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE+G minus MULTI-G,ordering,wall_s_mean,cost,-3.549632,-8.594394,-5.044763,-,-,False
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE+G minus MULTI-G,ordering,usd_total,cost,0.000000,0.000000,0.000000,0,0,False
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE+G minus MULTI-G,ordering,wwt_original_mean_bh,outcome,0.707582,-1.847558,-2.555140,+,-,True
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE+G minus MULTI-G,ordering,wwt_original_median_bh,outcome,0.000000,0.000000,0.000000,0,0,False
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE+G minus MULTI-G,ordering,wwt_vs_rule_mean_bh,outcome,0.707582,-1.847558,-2.555140,+,-,True
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE+G minus MULTI-G,ordering,warranted_outcome_rate,outcome,-0.008333,0.000000,0.008333,-,0,False
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE+G minus MULTI-G,ordering,violation_pass_through,outcome,0.229167,-0.086806,-0.315972,+,-,True
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE+G minus MULTI-G,ordering,violation_pass_through_strict,outcome,0.152778,-0.086806,-0.239583,+,-,True
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE+G minus MULTI-G,ordering,false_block_rate,outcome,0.020833,0.000000,-0.020833,+,0,False
qwen14b,"Qwen3-14B (open, local, BF16)",SINGLE+G minus MULTI-G,ordering,certified_gap_median,outcome,0.013558,0.004651,-0.008907,+,+,False
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-G minus MULTI-UG,ordering,cap_binding_share,cost,0.000000,0.000000,0.000000,0,0,False
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-G minus MULTI-UG,ordering,all_tokens_median,cost,0.000000,0.000000,0.000000,0,0,False
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-G minus MULTI-UG,ordering,variant_tokens_median,cost,0.000000,297.000000,297.000000,0,+,False
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-G minus MULTI-UG,ordering,variant_tokens_mean,cost,0.000000,515.393750,515.393750,0,+,False
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-G minus MULTI-UG,ordering,wall_s_mean,cost,0.000000,0.000000,0.000000,0,0,False
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-G minus MULTI-UG,ordering,usd_total,cost,0.000000,0.000000,0.000000,0,0,False
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-G minus MULTI-UG,ordering,wwt_original_mean_bh,outcome,-0.305503,-39.201434,-38.895931,-,-,False
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-G minus MULTI-UG,ordering,wwt_original_median_bh,outcome,0.000000,-15.212000,-15.212000,0,-,False
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-G minus MULTI-UG,ordering,wwt_vs_rule_mean_bh,outcome,-0.305503,-39.201434,-38.895931,-,-,False
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-G minus MULTI-UG,ordering,warranted_outcome_rate,outcome,0.018750,0.902083,0.883333,+,+,False
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-G minus MULTI-UG,ordering,violation_pass_through,outcome,0.000000,-0.177083,-0.177083,0,-,False
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-G minus MULTI-UG,ordering,violation_pass_through_strict,outcome,0.000000,-0.170139,-0.170139,0,-,False
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-G minus MULTI-UG,ordering,false_block_rate,outcome,0.005208,0.010417,0.005208,+,+,False
qwen14b,"Qwen3-14B (open, local, BF16)",MULTI-G minus MULTI-UG,ordering,certified_gap_median,outcome,,,,,,
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",SINGLE+G,variant,n,cost,240.000000,240.000000,0.000000,,,
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",SINGLE+G,variant,cap_binding_share,cost,0.525000,0.058333,-0.466667,,,
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",SINGLE+G,variant,all_tokens_median,cost,2932.500000,3703.500000,771.000000,,,
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",SINGLE+G,variant,variant_tokens_median,cost,2932.500000,3703.500000,771.000000,,,
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",SINGLE+G,variant,variant_tokens_mean,cost,2583.883333,4412.091667,1828.208333,,,
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",SINGLE+G,variant,wall_s_mean,cost,3.567088,6.481794,2.914706,,,
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",SINGLE+G,variant,usd_total,cost,0.000000,0.000000,0.000000,,,
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",SINGLE+G,variant,wwt_original_mean_bh,outcome,702.944220,705.178294,2.234074,,,
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",SINGLE+G,variant,wwt_original_median_bh,outcome,637.751600,637.751600,0.000000,,,
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",SINGLE+G,variant,wwt_vs_rule_mean_bh,outcome,-0.148703,2.085371,2.234074,,,
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",SINGLE+G,variant,warranted_outcome_rate,outcome,0.987500,0.987500,0.000000,,,
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",SINGLE+G,variant,violation_pass_through,outcome,0.291667,0.513889,0.222222,,,
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",SINGLE+G,variant,violation_pass_through_strict,outcome,0.222222,0.381944,0.159722,,,
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",SINGLE+G,variant,false_block_rate,outcome,0.031250,0.031250,0.000000,,,
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",SINGLE+G,variant,certified_gap_median,outcome,0.010113,0.007960,-0.002153,,,
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",MULTI-G,variant,n,cost,240.000000,240.000000,0.000000,,,
