# generated 2026-08-17 by phase1 circularity audit (scratchpad/phase1/circularity/allarms.py)
# source: results/e1_eval_*/verdicts_G_FEAS.jsonl and verdicts_G_CERT.jsonl, joined on (item_id, repeat)
# slice: mode=M_constrained, thinking as in column arm; the T5_ladder.csv rung-4/rung-5 full_suite slice
# warranted states: applied_with_certificate, blocked_correctly, referred_to_human (ladder_replay.py WARRANTED_STATES)
arm,n,feas_warr,feas_rate,cert_warr,cert_rate,rise_pts,a_relabel,a_pts,b_newblock,b_pts,other,loss,ac,ac_empty,ac_empty_share,v5_n,v5_ac,v5_ac_empty,nonempty_cert_rate,nonempty_rise_pts
qwen3-14b,6000,752,0.12533333333333332,5895,0.9825,85.71666666666667,4483,74.71666666666667,660,11.0,0,0,4483,403,0.089895159491412,600,558,307,0.9153333333333333,79.0
qwen3.6-27b-fp8,6000,712,0.11866666666666667,5868,0.978,85.93333333333334,4513,75.21666666666667,643,10.716666666666667,0,0,4513,604,0.13383558608464435,600,576,392,0.8773333333333333,75.86666666666666
glm-4-9b,2000,322,0.161,1936,0.968,80.7,1427,71.35,187,9.35,0,0,1427,26,0.018220042046250877,200,161,22,0.955,79.4
openai (GPT-5.4-mini),4000,544,0.136,3938,0.9845,84.85,2998,74.95,396,9.9,0,0,2998,144,0.04803202134756504,400,329,80,0.9485,81.25
deepseek non_think,4000,1678,0.4195,2445,0.61125,19.175,746,18.65,21,0.525,0,0,746,746,1.0,400,374,374,0.42475,0.525
deepseek think_high,4000,1829,0.45725,2409,0.60225,14.5,563,14.075,17,0.425,0,0,563,551,0.9786856127886323,400,309,309,0.4645,0.725
sonnet,4000,339,0.08475,3939,0.98475,90.0,3175,79.375,425,10.625,0,0,3175,611,0.19244094488188976,400,386,326,0.832,74.725
opus default (FLAGSHIP),4000,93,0.02325,3935,0.98375,96.05,3391,84.775,451,11.275,0,0,3391,929,0.27396048363314657,400,386,384,0.7515,72.825
opus disabled,4000,222,0.0555,3918,0.9795,92.4,3248,81.2,448,11.2,0,0,3248,814,0.25061576354679804,400,386,381,0.776,72.05
sol,2000,117,0.0585,1931,0.9655,90.7,1605,80.25,209,10.45,0,0,1605,397,0.24735202492211839,200,193,183,0.767,70.85
