# generated 2026-08-17 17:24:01 +0800 by paper_tables.py (l1-paper-tables-1)
# dedup rule applied to the hosted raw logs before evaluation: last row per (mode, thinking, repeat, item_id); hosted logs only
# suite suite.jsonl sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
# adjustment schema sha256 1115fa83d8910ed18a4fa1a421e80aaf4629f4c91fc22f83c81ba32c3fa39321
# ladder anchors: /home/ziheng/PaperL1/analysis/ladder (reconciliation 4208/4208 passed)
# /home/ziheng/PaperL1/results/e1_eval_qwen14b/summary.json sha256 793c76b07b492ef0fd70878913b6c90449fa7d884edd530817eaf98c1c51c1c8
# /home/ziheng/PaperL1/results/e1_eval_qwen27b/summary.json sha256 78745e80ca0550e27d754b70e2e8f8bd7d33a6ba11b419852ec4c05a9c5a57d5
# /home/ziheng/PaperL1/results/e1_eval_glm9b/summary.json sha256 bb806173f35bcd5013b1a9b77223f0d2e16346375670a6dca65dbb8859099724
# /home/ziheng/PaperL1/results/e1_eval_gpt54mini/summary.json sha256 5da1e6beba8ac75283ee1e5f9352c2fff80eb08fe74f590e551b35b5364fa028
# /home/ziheng/PaperL1/results/e1_eval_deepseek/summary.json sha256 574ebad8772fe47ec758487469231be95f2e457399fa619ad553b571dc8ee8f9
# /home/ziheng/PaperL1/results/e1_eval_sonnet5/summary.json sha256 e50203a3a4474af675a4ed1e397c52ecd1f1b057502f21987d01ec6e8878e4f6
# /home/ziheng/PaperL1/results/e1_eval_opus5/summary.json sha256 d1ab21e2a71280e44d8eed9feda0f8031e4c3160d17fd995414d6a1398ae4f15
# /home/ziheng/PaperL1/results/e1_eval_sol/summary.json sha256 fa3ae6264fcdfbd3b311ad59a8ed88bc8540176adea8b4b043b2fecf5086379d
# /home/ziheng/PaperL1/results/e2_tau_sweep/curves.csv sha256 e9ca179c57029c6ae23d0512f12da901884072192c96addff321de94bf04fc76
# rows are the accepted record; every overlapping cell is asserted equal to it
step,step_meaning,arm,model,mode,scope,items,share_applied_with_certificate,share_applied_uncertified,share_referred_to_human,share_blocked_correctly,share_blocked_falsely,share_execution_failed,share_unhandled,share_model_refused,violation_pass_through,violation_pass_through_nonempty,violation_pass_through_strict,violation_pass_through_strict_nonempty,violation_pass_through_fault,certified_gap_median,warranted_outcome_rate,wwt_original_mean_bh,wwt_original_median_bh,wwt_original_max_bh,wwt_original_vs_rule_bh,wwt_original_median_vs_rule_bh
1. RULE/SOLVER,as-is floor: instructions are not applied at all,,,-,full_suite,2000,,,,,,,1.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,692.0577,567.9288,2859.5096,0.0000,0.0000
2. ORACLE,"as-is ceiling: ground-truth translation, no automated assurance",,,-,full_suite,2000,,0.642500,0.257500,,,0.100000,,,0.404167,0.404167,0.183333,0.183333,0.183333,0.017038,0.257500,729.2802,619.2284,3987.3928,37.2226,51.2996
1. RULE/SOLVER,as-is floor: instructions are not applied at all,,,-,oracle_domain,1000,,,,,,,1.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,692.3810,567.9288,2859.5096,0.3233,0.0000
2. ORACLE,"as-is ceiling: ground-truth translation, no automated assurance",,,-,oracle_domain,1000,,0.800000,0.200000,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.010113,0.200000,691.2212,567.9288,2859.5096,-0.8365,0.0000
1. RULE/SOLVER,as-is floor: instructions are not applied at all,,,-,benign,800,,,,,,,1.000000,,,,,,,,0.000000,682.6878,567.9288,2859.5096,-9.3699,0.0000
2. ORACLE,"as-is ceiling: ground-truth translation, no automated assurance",,,-,benign,800,,1.000000,,,,,,,,,,,,0.010113,0.000000,681.2380,567.9288,2859.5096,-10.8197,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",qwen3-14b,"Qwen3-14B (open, local, BF16)",M_constrained / -,full_suite,6000,,0.900333,,,,0.099667,,,0.835556,0.721111,0.711111,0.596667,0.572778,0.016342,0.000000,747.7333,623.3044,5840.1408,55.6756,55.3756
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",qwen3-14b,"Qwen3-14B (open, local, BF16)",M_constrained / -,oracle_domain,3000,,0.992000,,,,0.008000,,,0.970000,0.428333,0.970000,0.428333,0.970000,0.010894,0.000000,706.4297,567.9288,5243.6480,14.3720,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",qwen3-14b,"Qwen3-14B (open, local, BF16)",M_constrained / -,benign,2400,,0.997500,,,,0.002500,,,,,,,,0.010894,0.000000,699.2320,567.9288,5243.6480,7.1743,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",qwen3-14b,"Qwen3-14B (open, local, BF16)",M_free / -,full_suite,6000,,0.934167,,,,0.065833,,,0.930278,0.010000,0.930278,0.010000,0.603889,0.010894,0.000000,692.0577,567.9288,2859.5096,0.0000,0.0000
