# generated 2026-08-17 17:24:01 +0800 by paper_tables.py (l1-paper-tables-1)
# dedup rule applied to the hosted raw logs before evaluation: last row per (mode, thinking, repeat, item_id); hosted logs only
# suite suite.jsonl sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
# adjustment schema sha256 1115fa83d8910ed18a4fa1a421e80aaf4629f4c91fc22f83c81ba32c3fa39321
# ladder anchors: /home/ziheng/PaperL1/analysis/ladder (reconciliation 4208/4208 passed)
# /home/ziheng/PaperL1/results/e1_eval_qwen14b/summary.json sha256 793c76b07b492ef0fd70878913b6c90449fa7d884edd530817eaf98c1c51c1c8
# /home/ziheng/PaperL1/results/e1_eval_qwen27b/summary.json sha256 78745e80ca0550e27d754b70e2e8f8bd7d33a6ba11b419852ec4c05a9c5a57d5
# /home/ziheng/PaperL1/results/e1_eval_glm9b/summary.json sha256 bb806173f35bcd5013b1a9b77223f0d2e16346375670a6dca65dbb8859099724
# /home/ziheng/PaperL1/results/e1_eval_gpt54mini/summary.json sha256 5da1e6beba8ac75283ee1e5f9352c2fff80eb08fe74f590e551b35b5364fa028
# /home/ziheng/PaperL1/results/e1_eval_deepseek/summary.json sha256 574ebad8772fe47ec758487469231be95f2e457399fa619ad553b571dc8ee8f9
# /home/ziheng/PaperL1/results/e1_eval_sonnet5/summary.json sha256 e50203a3a4474af675a4ed1e397c52ecd1f1b057502f21987d01ec6e8878e4f6
# /home/ziheng/PaperL1/results/e1_eval_opus5/summary.json sha256 d1ab21e2a71280e44d8eed9feda0f8031e4c3160d17fd995414d6a1398ae4f15
# /home/ziheng/PaperL1/results/e1_eval_sol/summary.json sha256 fa3ae6264fcdfbd3b311ad59a8ed88bc8540176adea8b4b043b2fecf5086379d
# /home/ziheng/PaperL1/results/e2_tau_sweep/curves.csv sha256 e9ca179c57029c6ae23d0512f12da901884072192c96addff321de94bf04fc76
# rows are the accepted record; every overlapping cell is asserted equal to it
arm,model,mode,thinking,tau,v3_items,v3_block_rate,v3_feas_pass,v3_separated,v3_separation_share,v4_separated,false_block_rate,warranted_share,in_accepted_e2_sweep,operating_point_fb1pct,operating_point_fb5pct,schema_feas_false_block_floor
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,non_think,0.02,440,1.000000,3,3,0.006818,0,0.983125,0.606750,yes,,,0.970625
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,non_think,0.05,440,0.995455,3,1,0.002273,0,0.980000,0.608000,yes,,,0.970625
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,non_think,0.10,440,0.995455,3,1,0.002273,0,0.974375,0.610250,yes,,,0.970625
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,non_think,0.15,440,0.995455,3,1,0.002273,0,0.971875,0.611250,yes,,,0.970625
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,non_think,0.20,440,0.995455,3,1,0.002273,0,0.971875,0.611250,yes,,,0.970625
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,non_think,0.30,440,0.993182,3,0,0.000000,0,0.970625,0.611750,yes,,,0.970625
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,non_think,0.50,440,0.993182,3,0,0.000000,0,0.970625,0.611750,yes,,,0.970625
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,non_think,1.00,440,0.993182,3,0,0.000000,0,0.970625,0.611750,yes,,,0.970625
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,think_high,0.02,440,1.000000,0,0,0.000000,0,0.996875,0.601250,yes,,,0.994375
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,think_high,0.05,440,1.000000,0,0,0.000000,0,0.996875,0.601250,yes,,,0.994375
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,think_high,0.10,440,1.000000,0,0,0.000000,0,0.995625,0.601750,yes,,,0.994375
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,think_high,0.15,440,1.000000,0,0,0.000000,0,0.994375,0.602250,yes,,,0.994375
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,think_high,0.20,440,1.000000,0,0,0.000000,0,0.994375,0.602250,yes,,,0.994375
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,think_high,0.30,440,1.000000,0,0,0.000000,0,0.994375,0.602250,yes,,,0.994375
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,think_high,0.50,440,1.000000,0,0,0.000000,0,0.994375,0.602250,yes,,,0.994375
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,think_high,1.00,440,1.000000,0,0,0.000000,0,0.994375,0.602250,yes,,,0.994375
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free,non_think,0.02,440,1.000000,0,0,0.000000,1,0.987500,0.605000,yes,,,0.977500
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free,non_think,0.05,440,1.000000,0,0,0.000000,1,0.985625,0.605750,yes,,,0.977500
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free,non_think,0.10,440,1.000000,0,0,0.000000,0,0.980000,0.608000,yes,,,0.977500
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free,non_think,0.15,440,1.000000,0,0,0.000000,0,0.978750,0.608500,yes,,,0.977500
