instance_id,stratum,frozen_seed,n_assignments,wwt_bh,lb_bh,gap
c09_storm2_w80_u100_0000,c09_storm2_w80,-,2269,637.751600,567.489600,0.123812
c09_storm2_w80_u100_0005,c09_storm2_w80,-,2199,464.713600,456.868000,0.017173
c09_storm2_w80_u100_0010,c09_storm2_w80,-,2284,426.222000,421.954800,0.010113
c09_storm2_w80_u100_0015,c09_storm2_w80,-,2227,1566.926800,1507.974800,0.039093
c09_storm2_w80_u100_0020,c09_storm2_w80,-,2253,729.519200,720.648800,0.012309
c09_storm2_w80_u100_0001,c09_storm2_w80,-,2221,685.370000,649.047600,0.055963
c09_storm2_w80_u100_0006,c09_storm2_w80,-,2334,699.087200,691.553600,0.010894
c09_storm2_w80_u100_0011,c09_storm2_w80,-,2317,455.009600,436.402000,0.042639
c09_storm2_w80_u100_0016,c09_storm2_w80,-,2300,506.326400,482.994800,0.048306
c09_storm2_w80_u100_0021,c09_storm2_w80,-,2227,652.963600,615.050000,0.061643
c09_storm2_w80_u100_0002,c09_storm2_w80,-,2267,386.244400,378.991200,0.019138
c09_storm2_w80_u100_0007,c09_storm2_w80,-,2270,1327.835200,1266.977200,0.048034
c09_storm2_w80_u100_0012,c09_storm2_w80,-,2353,856.922800,804.140000,0.065639
c09_storm2_w80_u100_0017,c09_storm2_w80,-,2230,567.928800,540.448000,0.050848
c09_storm2_w80_u100_0022,c09_storm2_w80,-,2214,725.239200,710.910400,0.020156
c09_storm2_w80_u100_0003,c09_storm2_w80,-,2250,507.668800,499.164000,0.017038
c09_storm2_w80_u100_0008,c09_storm2_w80,-,2271,1055.378400,860.402000,0.226611
c09_storm2_w80_u100_0013,c09_storm2_w80,-,2314,675.647200,672.363200,0.004884
c09_storm2_w80_u100_0018,c09_storm2_w80,-,2230,196.462000,152.692400,0.286652
c09_storm2_w80_u100_0023,c09_storm2_w80,-,2262,1339.980400,1253.232400,0.069219
c09_storm2_w80_u100_0004,c09_storm2_w80,-,2321,573.468000,518.450400,0.106119
c09_storm2_w80_u100_0009,c09_storm2_w80,-,2328,1185.187200,1144.233600,0.035791
c09_storm2_w80_u100_0014,c09_storm2_w80,-,2135,619.228400,603.668000,0.025776
c09_storm2_w80_u100_0019,c09_storm2_w80,-,2276,390.257600,386.816400,0.008896
c10_replay_400_0021,c10_replay_400,-,400,148.000000,148.000000,0.000000
