arm,mode,thinking,tau,class,items,blocks,block_rate,false_block_rate,v3_separated,v4_separated,warranted_share
deepseek,M_constrained,non_think,0.02,V1,320,254,0.793750,0.983125,3,0,0.606750
deepseek,M_constrained,non_think,0.02,V2,400,299,0.747500,0.983125,3,0,0.606750
deepseek,M_constrained,non_think,0.02,V3,440,440,1.000000,0.983125,3,0,0.606750
deepseek,M_constrained,non_think,0.02,V4,440,411,0.934091,0.983125,3,0,0.606750
deepseek,M_constrained,non_think,0.02,V5,400,158,0.395000,0.983125,3,0,0.606750
deepseek,M_constrained,non_think,0.02,V6,400,364,0.910000,0.983125,3,0,0.606750
deepseek,M_constrained,non_think,0.02,benign,1600,1573,0.983125,0.983125,3,0,0.606750
deepseek,M_constrained,non_think,0.05,V1,320,248,0.775000,0.980000,1,0,0.608000
deepseek,M_constrained,non_think,0.05,V2,400,275,0.687500,0.980000,1,0,0.608000
deepseek,M_constrained,non_think,0.05,V3,440,438,0.995455,0.980000,1,0,0.608000
deepseek,M_constrained,non_think,0.05,V4,440,411,0.934091,0.980000,1,0,0.608000
deepseek,M_constrained,non_think,0.05,V5,400,96,0.240000,0.980000,1,0,0.608000
deepseek,M_constrained,non_think,0.05,V6,400,346,0.865000,0.980000,1,0,0.608000
deepseek,M_constrained,non_think,0.05,benign,1600,1568,0.980000,0.980000,1,0,0.608000
deepseek,M_constrained,non_think,0.10,V1,320,242,0.756250,0.974375,1,0,0.610250
deepseek,M_constrained,non_think,0.10,V2,400,256,0.640000,0.974375,1,0,0.610250
deepseek,M_constrained,non_think,0.10,V3,440,438,0.995455,0.974375,1,0,0.610250
deepseek,M_constrained,non_think,0.10,V4,440,411,0.934091,0.974375,1,0,0.610250
deepseek,M_constrained,non_think,0.10,V5,400,46,0.115000,0.974375,1,0,0.610250
deepseek,M_constrained,non_think,0.10,V6,400,342,0.855000,0.974375,1,0,0.610250
deepseek,M_constrained,non_think,0.10,benign,1600,1559,0.974375,0.974375,1,0,0.610250
deepseek,M_constrained,non_think,0.15,V1,320,238,0.743750,0.971875,1,0,0.611250
deepseek,M_constrained,non_think,0.15,V2,400,248,0.620000,0.971875,1,0,0.611250
deepseek,M_constrained,non_think,0.15,V3,440,438,0.995455,0.971875,1,0,0.611250
deepseek,M_constrained,non_think,0.15,V4,440,411,0.934091,0.971875,1,0,0.611250
deepseek,M_constrained,non_think,0.15,V5,400,26,0.065000,0.971875,1,0,0.611250
deepseek,M_constrained,non_think,0.15,V6,400,338,0.845000,0.971875,1,0,0.611250
deepseek,M_constrained,non_think,0.15,benign,1600,1555,0.971875,0.971875,1,0,0.611250
deepseek,M_constrained,non_think,0.20,V1,320,238,0.743750,0.971875,1,0,0.611250
deepseek,M_constrained,non_think,0.20,V2,400,248,0.620000,0.971875,1,0,0.611250
deepseek,M_constrained,non_think,0.20,V3,440,438,0.995455,0.971875,1,0,0.611250
deepseek,M_constrained,non_think,0.20,V4,440,411,0.934091,0.971875,1,0,0.611250
deepseek,M_constrained,non_think,0.20,V5,400,26,0.065000,0.971875,1,0,0.611250
deepseek,M_constrained,non_think,0.20,V6,400,338,0.845000,0.971875,1,0,0.611250
deepseek,M_constrained,non_think,0.20,benign,1600,1555,0.971875,0.971875,1,0,0.611250
deepseek,M_constrained,non_think,0.30,V1,320,238,0.743750,0.970625,0,0,0.611750
deepseek,M_constrained,non_think,0.30,V2,400,242,0.605000,0.970625,0,0,0.611750
deepseek,M_constrained,non_think,0.30,V3,440,437,0.993182,0.970625,0,0,0.611750
deepseek,M_constrained,non_think,0.30,V4,440,411,0.934091,0.970625,0,0,0.611750
deepseek,M_constrained,non_think,0.30,V5,400,12,0.030000,0.970625,0,0,0.611750
deepseek,M_constrained,non_think,0.30,V6,400,338,0.845000,0.970625,0,0,0.611750
deepseek,M_constrained,non_think,0.30,benign,1600,1553,0.970625,0.970625,0,0,0.611750
deepseek,M_constrained,non_think,0.50,V1,320,238,0.743750,0.970625,0,0,0.611750
deepseek,M_constrained,non_think,0.50,V2,400,242,0.605000,0.970625,0,0,0.611750
deepseek,M_constrained,non_think,0.50,V3,440,437,0.993182,0.970625,0,0,0.611750
deepseek,M_constrained,non_think,0.50,V4,440,411,0.934091,0.970625,0,0,0.611750
deepseek,M_constrained,non_think,0.50,V5,400,12,0.030000,0.970625,0,0,0.611750
deepseek,M_constrained,non_think,0.50,V6,400,338,0.845000,0.970625,0,0,0.611750
deepseek,M_constrained,non_think,0.50,benign,1600,1553,0.970625,0.970625,0,0,0.611750
deepseek,M_constrained,non_think,1.00,V1,320,238,0.743750,0.970625,0,0,0.611750
deepseek,M_constrained,non_think,1.00,V2,400,242,0.605000,0.970625,0,0,0.611750
deepseek,M_constrained,non_think,1.00,V3,440,437,0.993182,0.970625,0,0,0.611750
deepseek,M_constrained,non_think,1.00,V4,440,411,0.934091,0.970625,0,0,0.611750
deepseek,M_constrained,non_think,1.00,V5,400,12,0.030000,0.970625,0,0,0.611750
deepseek,M_constrained,non_think,1.00,V6,400,338,0.845000,0.970625,0,0,0.611750
deepseek,M_constrained,non_think,1.00,benign,1600,1553,0.970625,0.970625,0,0,0.611750
deepseek,M_constrained,think_high,0.02,V1,320,261,0.815625,0.996875,0,0,0.601250
deepseek,M_constrained,think_high,0.02,V2,400,314,0.785000,0.996875,0,0,0.601250
deepseek,M_constrained,think_high,0.02,V3,440,440,1.000000,0.996875,0,0,0.601250
deepseek,M_constrained,think_high,0.02,V4,440,436,0.990909,0.996875,0,0,0.601250
deepseek,M_constrained,think_high,0.02,V5,400,202,0.505000,0.996875,0,0,0.601250
deepseek,M_constrained,think_high,0.02,V6,400,378,0.945000,0.996875,0,0,0.601250
deepseek,M_constrained,think_high,0.02,benign,1600,1595,0.996875,0.996875,0,0,0.601250
deepseek,M_constrained,think_high,0.05,V1,320,254,0.793750,0.996875,0,0,0.601250
deepseek,M_constrained,think_high,0.05,V2,400,288,0.720000,0.996875,0,0,0.601250
deepseek,M_constrained,think_high,0.05,V3,440,440,1.000000,0.996875,0,0,0.601250
deepseek,M_constrained,think_high,0.05,V4,440,436,0.990909,0.996875,0,0,0.601250
deepseek,M_constrained,think_high,0.05,V5,400,148,0.370000,0.996875,0,0,0.601250
deepseek,M_constrained,think_high,0.05,V6,400,370,0.925000,0.996875,0,0,0.601250
deepseek,M_constrained,think_high,0.05,benign,1600,1595,0.996875,0.996875,0,0,0.601250
deepseek,M_constrained,think_high,0.10,V1,320,252,0.787500,0.995625,0,0,0.601750
deepseek,M_constrained,think_high,0.10,V2,400,274,0.685000,0.995625,0,0,0.601750
deepseek,M_constrained,think_high,0.10,V3,440,440,1.000000,0.995625,0,0,0.601750
deepseek,M_constrained,think_high,0.10,V4,440,436,0.990909,0.995625,0,0,0.601750
deepseek,M_constrained,think_high,0.10,V5,400,104,0.260000,0.995625,0,0,0.601750
deepseek,M_constrained,think_high,0.10,V6,400,366,0.915000,0.995625,0,0,0.601750
deepseek,M_constrained,think_high,0.10,benign,1600,1593,0.995625,0.995625,0,0,0.601750
deepseek,M_constrained,think_high,0.15,V1,320,249,0.778125,0.994375,0,0,0.602250
deepseek,M_constrained,think_high,0.15,V2,400,265,0.662500,0.994375,0,0,0.602250
deepseek,M_constrained,think_high,0.15,V3,440,440,1.000000,0.994375,0,0,0.602250
deepseek,M_constrained,think_high,0.15,V4,440,436,0.990909,0.994375,0,0,0.602250
deepseek,M_constrained,think_high,0.15,V5,400,91,0.227500,0.994375,0,0,0.602250
deepseek,M_constrained,think_high,0.15,V6,400,365,0.912500,0.994375,0,0,0.602250
deepseek,M_constrained,think_high,0.15,benign,1600,1591,0.994375,0.994375,0,0,0.602250
deepseek,M_constrained,think_high,0.20,V1,320,249,0.778125,0.994375,0,0,0.602250
deepseek,M_constrained,think_high,0.20,V2,400,265,0.662500,0.994375,0,0,0.602250
deepseek,M_constrained,think_high,0.20,V3,440,440,1.000000,0.994375,0,0,0.602250
deepseek,M_constrained,think_high,0.20,V4,440,436,0.990909,0.994375,0,0,0.602250
deepseek,M_constrained,think_high,0.20,V5,400,91,0.227500,0.994375,0,0,0.602250
deepseek,M_constrained,think_high,0.20,V6,400,365,0.912500,0.994375,0,0,0.602250
deepseek,M_constrained,think_high,0.20,benign,1600,1591,0.994375,0.994375,0,0,0.602250
deepseek,M_constrained,think_high,0.30,V1,320,249,0.778125,0.994375,0,0,0.602250
deepseek,M_constrained,think_high,0.30,V2,400,261,0.652500,0.994375,0,0,0.602250
deepseek,M_constrained,think_high,0.30,V3,440,440,1.000000,0.994375,0,0,0.602250
deepseek,M_constrained,think_high,0.30,V4,440,436,0.990909,0.994375,0,0,0.602250
deepseek,M_constrained,think_high,0.30,V5,400,78,0.195000,0.994375,0,0,0.602250
deepseek,M_constrained,think_high,0.30,V6,400,365,0.912500,0.994375,0,0,0.602250
deepseek,M_constrained,think_high,0.30,benign,1600,1591,0.994375,0.994375,0,0,0.602250
deepseek,M_constrained,think_high,0.50,V1,320,249,0.778125,0.994375,0,0,0.602250
deepseek,M_constrained,think_high,0.50,V2,400,261,0.652500,0.994375,0,0,0.602250
deepseek,M_constrained,think_high,0.50,V3,440,440,1.000000,0.994375,0,0,0.602250
deepseek,M_constrained,think_high,0.50,V4,440,436,0.990909,0.994375,0,0,0.602250
deepseek,M_constrained,think_high,0.50,V5,400,78,0.195000,0.994375,0,0,0.602250
deepseek,M_constrained,think_high,0.50,V6,400,365,0.912500,0.994375,0,0,0.602250
deepseek,M_constrained,think_high,0.50,benign,1600,1591,0.994375,0.994375,0,0,0.602250
deepseek,M_constrained,think_high,1.00,V1,320,249,0.778125,0.994375,0,0,0.602250
deepseek,M_constrained,think_high,1.00,V2,400,261,0.652500,0.994375,0,0,0.602250
deepseek,M_constrained,think_high,1.00,V3,440,440,1.000000,0.994375,0,0,0.602250
deepseek,M_constrained,think_high,1.00,V4,440,436,0.990909,0.994375,0,0,0.602250
deepseek,M_constrained,think_high,1.00,V5,400,78,0.195000,0.994375,0,0,0.602250
deepseek,M_constrained,think_high,1.00,V6,400,365,0.912500,0.994375,0,0,0.602250
deepseek,M_constrained,think_high,1.00,benign,1600,1591,0.994375,0.994375,0,0,0.602250
deepseek,M_free,non_think,0.02,V1,320,267,0.834375,0.987500,0,1,0.605000
deepseek,M_free,non_think,0.02,V2,400,316,0.790000,0.987500,0,1,0.605000
deepseek,M_free,non_think,0.02,V3,440,440,1.000000,0.987500,0,1,0.605000
deepseek,M_free,non_think,0.02,V4,440,431,0.979545,0.987500,0,1,0.605000
deepseek,M_free,non_think,0.02,V5,400,161,0.402500,0.987500,0,1,0.605000
deepseek,M_free,non_think,0.02,V6,400,367,0.917500,0.987500,0,1,0.605000
deepseek,M_free,non_think,0.02,benign,1600,1580,0.987500,0.987500,0,1,0.605000
deepseek,M_free,non_think,0.05,V1,320,261,0.815625,0.985625,0,1,0.605750
deepseek,M_free,non_think,0.05,V2,400,294,0.735000,0.985625,0,1,0.605750
deepseek,M_free,non_think,0.05,V3,440,440,1.000000,0.985625,0,1,0.605750
deepseek,M_free,non_think,0.05,V4,440,431,0.979545,0.985625,0,1,0.605750
deepseek,M_free,non_think,0.05,V5,400,100,0.250000,0.985625,0,1,0.605750
deepseek,M_free,non_think,0.05,V6,400,351,0.877500,0.985625,0,1,0.605750
deepseek,M_free,non_think,0.05,benign,1600,1577,0.985625,0.985625,0,1,0.605750
deepseek,M_free,non_think,0.10,V1,320,255,0.796875,0.980000,0,0,0.608000
deepseek,M_free,non_think,0.10,V2,400,278,0.695000,0.980000,0,0,0.608000
deepseek,M_free,non_think,0.10,V3,440,440,1.000000,0.980000,0,0,0.608000
deepseek,M_free,non_think,0.10,V4,440,430,0.977273,0.980000,0,0,0.608000
deepseek,M_free,non_think,0.10,V5,400,50,0.125000,0.980000,0,0,0.608000
deepseek,M_free,non_think,0.10,V6,400,345,0.862500,0.980000,0,0,0.608000
deepseek,M_free,non_think,0.10,benign,1600,1568,0.980000,0.980000,0,0,0.608000
