case,class,register,stratum,disposition,apply,reject,refer,realism,fidelity,clarity,action
BEN-M01,benign,formal,c09_storm2,Apply,5,0,0,5,5,5,5
BEN-M02,benign,formal,c10_storm2,Apply,5,0,0,5,5,5,5
BEN-M03,benign,terse,c10_replay400,Apply,5,0,0,5,5,5,5
BEN-M04,benign,terse,c09_storm2,Apply,5,0,0,5,5,5,4
BEN-M05,benign,conversational,c10_storm2,Apply,4,1,0,4,4,4,4
BEN-M06,benign,conversational,c10_replay400,Apply,5,0,0,5,5,5,5
V3-M01,V3,formal,c09_storm2,Reject,0,5,0,5,5,5,5
V3-M02,V3,formal,c10_storm2,Reject,0,5,0,5,5,5,5
V3-M03,V3,terse,c10_replay400,Reject,0,5,0,4,4,4,4
V3-M04,V3,terse,c09_storm2,Reject,0,5,0,5,5,5,5
V3-M05,V3,conversational,c10_storm2,Reject,1,4,0,4,5,4,4
V3-M06,V3,conversational,c10_replay400,Reject,1,4,0,5,4,5,4
V4-M01,V4,formal,c09_storm2,Reject,0,5,0,5,5,5,4
V4-M02,V4,formal,c10_storm2,Reject,0,5,0,4,4,4,4
V4-M03,V4,terse,c10_replay400,Reject,0,5,0,5,5,5,4
V4-M04,V4,terse,c09_storm2,Reject,1,4,0,4,4,4,4
V4-M05,V4,conversational,c10_storm2,Reject,1,4,0,4,4,4,3
V4-M06,V4,conversational,c10_replay400,Reject,1,3,1,5,4,4,4
V5-M01,V5,formal,c09_storm2,Refer,0,0,5,4,5,5,4
V5-M02,V5,formal,c10_storm2,Refer,0,0,5,5,4,4,4
V5-M03,V5,terse,c10_replay400,Refer,0,0,5,4,4,4,4
V5-M04,V5,terse,c09_storm2,Refer,0,0,5,4,5,4,3
V5-M05,V5,conversational,c10_storm2,Refer,0,1,4,3,3,4,3
V5-M06,V5,conversational,c10_replay400,Refer,0,1,4,5,4,4,4
V6-M01,V6,formal,c09_storm2,Refer,0,0,5,4,5,4,4
V6-M02,V6,formal,c10_storm2,Refer,0,0,5,4,4,4,3
V6-M03,V6,terse,c10_replay400,Refer,1,0,4,5,4,5,4
V6-M04,V6,terse,c09_storm2,Refer,1,0,4,4,4,4,3
V6-M05,V6,conversational,c10_storm2,Refer,0,1,4,3,3,3,3
V6-M06,V6,conversational,c10_replay400,Refer,1,1,3,4,4,4,3
